,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
0,S20970100001,09/02/2014,4337,Grand Falls Casino Resort,1415 GRAND FALLS BLVD,LARCHWOOD,51241,,60.0,Lyon,1031080.0,VODKA 80 PROOF,55,Sazerac North America,35318,Barton Vodka,6,1750,6.92,10.38,12,124.56,21.0,5.55
1,S07822900020,09/19/2012,3735,C B Liquor,1202 A AVE EAST,OSKALOOSA,52577,POINT (-92.631487 41.296286),10.0,Buchanan,1031080.0,VODKA 80 PROOF,297,Laird And Company,35914,Five O'clock Vodka,24,375,1.84,2.75,24,66.0,9.0,2.38
2,S20951700022,08/29/2014,4000,Foodland Super Markets / Woodbine,5TH AND LINCOLN WAY,WOODBINE,51579,,43.0,Harrison,1081030.0,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67571,Kahlua Mocha Liqueur,12,750,11.99,17.99,1,17.99,0.75,0.2
3,S21936900024,10/22/2014,3986,Siouxland Beverage,1203 5 ST,SIOUX CITY,51101,POINT (-96.394671 42.495324),97.0,Woodbury,1012100.0,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11788,Black Velvet,6,1750,9.45,14.68,6,88.08,10.5,2.77
4,S27955400035,09/16/2015,3773,Benz Distributing,501 7TH AVE SE,CEDAR RAPIDS,52401,POINT (-91.659875 41.97574),57.0,Linn,1081390.0,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69657,Dr. Mcgillicuddy's Mentholmint,12,1000,11.0,16.5,12,198.0,12.0,3.17
5,S27832600012,09/10/2015,5102,Wilkie Liquors,"724, 1st  ST  SE",MOUNT VERNON,52314,POINT (-91.410401 41.918328),57.0,Linn,1011200.0,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19067,Jim Beam,12,1000,12.59,18.89,24,453.36,24.0,6.34
6,S16998800038,01/23/2014,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57.0,Linn,1032080.0,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34008,Absolut Swedish Vodka 80 Prf,6,1750,20.0,29.99,6,179.94,10.5,2.77
7,S12556700050,06/04/2013,3858,Harolds Jack N Jill / Davenport,6723 NW BLVD UNIT 2,DAVENPORT,52806,POINT (-90.609747 41.589369),82.0,Scott,1012100.0,CANADIAN WHISKIES,260,Diageo Americas,10836,Crown Royal Black,12,750,17.0,25.49,2,50.98,1.5,0.4
8,S14621100006,09/17/2013,4764,New Star / Fort Dodge,1923 5TH AVE S,FORT DODGE,50501,POINT (-94.170859 42.501169),94.0,Webster,1031080.0,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,1750,7.2,10.79,12,129.48,21.0,5.55
9,S07928600078,09/25/2012,2651,Hy-Vee / Waverly,1311 4 STREET SW,WAVERLY,50677,POINT (-92.475403 42.712263),9.0,Bremer,1081390.0,IMPORTED SCHNAPPS,260,Diageo Americas,69947,Rumple Minze Peppermint Schnapps Liqueur,12,1000,15.15,22.72,2,45.44,2.0,0.53
10,S27019700005,07/28/2015,3849,Hartig Drug Co #6 / Dyersville,711  16TH AVE SE,DYERSVILLE,52040,POINT (-91.116087 42.470285),31.0,Dubuque,1011300.0,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26821,Jack Daniels Old #7 Black Lbl Mini,12,500,9.06,13.59,1,13.59,0.5,0.13
11,S16798100051,01/13/2014,3465,Hometown Foods / Panora,601 E MAIN,PANORA,50216,POINT (-94.357201 41.69182),39.0,Guthrie,1022100.0,TEQUILA,395,Proximo,89196,Jose Cuervo Especial Reposado Tequila,12,750,10.49,15.73,4,62.92,3.0,0.79
12,S14665800025,09/19/2013,2106,Hillstreet News and Tobacco,2217 COLLEGE,CEDAR FALLS,50613,POINT (-92.455796 42.517182),7.0,Black Hawk,1032200.0,IMPORTED VODKA - MISC,395,Proximo,35469,Three Olives Bubble Vodka,12,750,11.16,16.74,12,200.88,9.0,2.38
13,S26014200035,06/04/2015,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,POINT (-90.525525 41.580212),82.0,Scott,1071100.0,AMERICAN COCKTAILS,35,"Bacardi U.S.A., Inc.",57092,Bacardi Classic Cocktails Strawberry Daiquiri,6,1750,10.0,15.0,6,90.0,10.5,2.77
