,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Poverty ,0.002475120746456687,0.0026091727330002676,0.0025442542061056266,0.0025275288360274754,0.0024086545353951662,0.002310331370048509,0.0021737596503580356,0.0024882084052604394,0.0025665886933192834,0.0024867694004194847,0.002875173828771803,0.002434317721358647,0.0022135451643206837,0.002448719069380865
1,Pacific Prop,0.15225516859391802,0.24460885754332415,0.48303475221188763,-0.16877579041649346,0.5942490027916225,0.4697236133081635,0.43015119901730464,0.4526762106855644,0.1640950965732255,0.09701842895336682,0.03350775357015762,-0.20049894647608396,0.34350377274229327,0.033974334587291544
2,ADAMS,0.023849932041586138,0.015659521149842363,0.017760647711107948,0.018500457863500963,0.01987279595695828,0.023745459280029836,0.02510445075088056,0.02215003888913896,0.023217014554720805,0.021133943603631113,0.01331297806693749,0.02022917687109914,0.02510864855410494,0.01346924337680775
3,ALLAMAKEE,0.02484665602426607,0.025439300321569457,0.01946984022164667,0.024732343638200018,0.019652710032274298,0.019386770983169897,0.026480094126304275,0.023876857670632672,0.022402377620694233,0.022834401699828852,0.018322853095641342,0.021536579571210943,0.025005415791116682,0.023330099615451565
4,APPANOOSE,0.005749525465386379,0.0037859567518248355,-0.0012967225344506653,0.008858422466506068,0.006331592633401129,0.008848597488420392,0.014218715556323197,0.008064064909279989,0.0021227034586119064,0.00415961042327351,4.097871295295416e-05,0.00594833796123137,0.009282040237746592,0.007960772921500835
5,AUDUBON,0.025465857883023392,0.02134216882025185,0.018703766449038442,0.026065877399297284,0.019493448226711965,0.020086221188848,0.02473221332436254,0.023766067852339832,0.024234949659459253,0.025314862027818852,0.027331956899733622,0.028465418088270945,0.02909596804506655,0.019540036552987805
6,BENTON,0.02821434488029288,0.02569512732119559,0.024940821451377854,0.02669357661341009,0.023868817211256152,0.029242661206393745,0.02863100631593601,0.027039680417233626,0.032553012092917985,0.02274169017786285,0.0241024855215419,0.025687602383469305,0.02964402631385124,0.026337626222304483
7,BLACK HAWK,0.011058210471619376,0.010322810912068443,0.008563385020631767,0.012496141044609018,0.0071682959764433896,0.010068932460820027,0.014202820196501138,0.008652702554606942,0.011355808106719144,0.00944132949577019,0.004173157798189779,0.012361542609175526,0.012440251347812025,0.010729400069278909
8,BOONE,0.029936400189991438,0.027058654271993485,0.023477561871381693,0.02616530433885403,0.02648310895131389,0.02469181359136375,0.03256788059111226,0.02342754520713657,0.029405578524377012,0.025560299853270428,0.02689717887543383,0.02862619229840345,0.02907557086142229,0.027462191582490816
9,BREMER,0.027255532141454132,0.03158003457439702,0.0291445473384181,0.027112212570912324,0.0290571328392602,0.027103066530177338,0.032988636761236735,0.028210571064763816,0.02870608497967507,0.0312260599027652,0.028210876025283618,0.02620381054158541,0.030218549745656915,0.02927979670642237
10,BUCHANAN,0.026662409598398842,0.029015174039901743,0.02475174684323202,0.028957400921878797,0.025039370377607832,0.028073239698463377,0.029154281283758646,0.02212740616494677,0.02673000902567745,0.02534595037952419,0.025627546007922504,0.03094034420526794,0.03216200825632214,0.02811098984603163
11,BUENA VISTA,0.022612316512462656,0.014132992650083427,0.011244260851146461,0.024394599168273176,0.015293785384623514,0.01674568265859416,0.019461472036267233,0.013270753680405208,0.015861057946771326,0.017372595930567315,0.016144060501824216,0.02181330382640691,0.015567582219121674,0.01852503374694616
12,BUTLER,0.024672739048785558,0.02693425507863597,0.026084065890588874,0.020830091097745643,0.025213696970640236,0.025108624089114975,0.02792464517933097,0.02292142011032277,0.023705727096491935,0.027950058171588545,0.020246137478856938,0.027113899943997294,0.028970185653841067,0.022646211375370075
13,CALHOUN,0.017982352530381773,0.015727368942751625,0.01621542984518641,0.016265440206966974,0.012350946325318534,0.016997649563204813,0.020631244283773217,0.016232471870322958,0.01836654593200947,0.017230653969461978,0.015791880416503076,0.015108280965526796,0.019217817173206204,0.0180642936535353
14,CARROLL,0.026794588978381412,0.025401747753381675,0.027849832867287143,0.029209559486747413,0.029735552965396185,0.03118741843586998,0.028526732671744624,0.023671543030860373,0.028559978536914374,0.02638043632759793,0.025793944413877265,0.030629143639677683,0.02861500125191593,0.025717693872618443
15,CASS,0.01913554385186733,0.020580250548,0.019469381134441938,0.022826759253955692,0.018859456055618305,0.019668439464194935,0.02411346544688558,0.019849932844658785,0.013773687881263826,0.019530044358987097,0.011163617110549093,0.02018151301961202,0.022828196522639163,0.018117236176595643
16,CEDAR,0.02667205037118993,0.030158081731126815,0.030421474072910785,0.028415938110084162,0.029079215053443495,0.02726522002893104,0.03306066717828898,0.03190283427778686,0.03000199982520731,0.027946924591557086,0.028312535336171566,0.028400067021421123,0.03136720909593449,0.02862355629614103
17,CERRO GORDO,0.016701649080764235,0.021205552944357043,0.019313420177094365,0.02182047751297797,0.018550398416281713,0.023133573327533186,0.021350851270912467,0.01853115332329311,0.021256869462530865,0.023449243014680824,0.01887528202907217,0.022394635957775355,0.02178898640451288,0.01885891392648044
18,CHEROKEE,0.021428688193733572,0.023807517992007598,0.019403875605400737,0.02502972972375897,0.019670070702291466,0.024846395873818178,0.01888304822454033,0.020099210621365597,0.017838250499666877,0.020482307448637833,0.01651554233224696,0.017647750410516444,0.024390447876412924,0.019959251595662267
19,CHICKASAW,0.03286533202741581,0.030688881069575777,0.02856590169853758,0.028520090384346785,0.026117945066676064,0.03198526885334464,0.029897930397283293,0.025027401594383596,0.031182861903586098,0.02843857125697155,0.02476876312805177,0.027187124542936862,0.02845980354824055,0.02723380203014998
20,CLARKE,0.012061954757259612,0.006167845677700028,0.007278973234127571,0.008803560017563519,0.010394872005375484,0.00553140783308561,0.011902680868739173,0.011951625035751208,0.008946713732987232,0.004232993790839017,0.00744262160187758,0.004115221968275986,0.014803683247992491,0.008785493179988148
21,CLAY,0.019490424360489398,0.024413831016011425,0.0230323982160063,0.025026188135601146,0.019675967604516453,0.021594152207596945,0.025212676655468808,0.018453557915322258,0.020101486181755654,0.022394020694155865,0.02111496565772171,0.023377256355955677,0.021009300492850224,0.021610676226464585
22,CLAYTON,0.018654141262699476,0.019192645085311613,0.015011372289905307,0.022928996090623252,0.026330253497134647,0.020284677445759493,0.027219765420153048,0.020369549665873024,0.019713590289363203,0.014724600735672869,0.01499740313916376,0.022082956873115046,0.02239880698894567,0.019361359666946125
23,CLINTON,0.016921271110486538,0.01595806784828825,0.014070785215649292,0.020559919326794254,0.01375150404267015,0.01460992603317965,0.014353060311159682,0.01504443556058769,0.010792345745387863,0.01622609390911386,0.012009139608235919,0.012730751414445202,0.018328231619576682,0.01282722149690829
24,CRAWFORD,0.0011242425900608649,-0.0017902515603659213,-0.0020117326172739355,0.00031423839371026024,-0.0006931820103072911,0.0008578424871106436,0.004094530649263323,0.0014033582752572909,0.0036003629980503778,0.0019746476873102325,-0.0029968742977043534,0.002930724508827173,0.005162355310777503,-0.0006107345829080594
