,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,HighIncome Prop,0.3802284545578033,0.5638778890828383,0.09028151800316445,0.5203723867928258,0.051257543971588104,-0.036424109123585624,-0.06012669132182619,0.5476284323586056,0.5398772787061096,0.35653474473327657,0.42915737153978395,0.0024933225728061316,0.12554250699391245,0.3526348842272998
1,Middle-Young Prop,3.1703784938678687,3.265266520711868,3.2186448874275237,3.38086790850398,3.2512586460745023,3.5696016423283248,3.3524517755520087,3.0129246607872817,3.1369726599005996,3.0196307144598764,2.8576436899111406,3.164451695422295,3.4113223901722813,2.920435960884774
2,ADAMS,0.089103627190494,0.03742016303077268,0.100328440979742,0.031416223494630066,0.004579699024494156,-0.01894228932305687,0.10121521652777576,0.009988847208216196,0.14853661710196125,0.0585283612288828,0.15535317748577537,0.07412080214649774,0.058431550813221496,0.02943644860494899
3,ALLAMAKEE,0.05964103329005726,-0.010754908307529683,0.0995717406680619,-0.023684354539214345,0.05847529937586915,0.006130793813515976,0.03413762333985484,0.01875894514071768,0.05122191105290155,0.0506664854409182,0.06896652294863728,0.005360644031869678,-0.058952822795244456,0.06514585213364853
4,APPANOOSE,-0.010320523096738888,-0.016024130850799637,0.10869790193355244,-0.04520418095046154,0.06571398666684175,-0.061440614813937915,0.006077428542446528,0.041243511654772524,0.034694718760168844,0.03381516096757369,0.15074183808579805,0.019699744744537853,0.045590663906515436,0.11579107254182251
5,AUDUBON,0.13134363621017514,0.06991350766733241,0.11292608959309537,0.06993493975158036,0.12575916003251822,0.06507002882448601,0.10812126235088676,0.05098092604673685,0.08303335108873654,0.1446254024235316,0.13147847254976028,0.11235938830205364,0.05468839106649694,0.13784683680111315
6,BENTON,-0.09105517137709557,-0.10383664030643568,-0.0683305780041206,-0.12367418557968936,-0.0541342082489253,-0.11263140468481217,-0.05841062369737928,-0.16235860419707343,-0.12827298370483128,-0.09830746771979794,-0.07106128155487272,-0.06091970436572742,-0.12228036177031075,0.007904746743671441
7,BLACK HAWK,-0.06799931498273913,-0.1803875245418837,-0.021411491685749465,-0.18096486434367123,-0.037187498470228675,-0.13520333272265808,-0.046605024358295534,-0.06940707795364927,-0.08263368568358198,0.011725742983643837,-0.023793902006659456,-0.05099873457910966,-0.09113718210623299,-0.03425988855113325
8,BOONE,-0.08335868282454861,-0.11293124539351541,-0.018398936956957993,-0.1960392783073189,-0.011906397313949185,-0.1607274890562423,-0.08432246422511849,-0.12298334563429238,-0.1142316493679385,0.0083072630858448,-0.09550851146791735,-0.054926596255158756,-0.141452242105005,-0.06069074093528648
9,BREMER,-0.07187580288878555,-0.1226911557273265,-0.0452404528953434,-0.16510896446646667,-0.01183163063212029,-0.1503665569675237,-0.05053770448939536,-0.08734957288230298,-0.026597319807987085,-0.057701029271207425,-0.09254745472215029,-0.0737531369969495,-0.14409018021109846,-0.05836043873761105
10,BUCHANAN,-0.14881939959278712,-0.18429209090216014,-0.07508151924400586,-0.1745492672695841,-0.14346357458199893,-0.18140212979663572,-0.057764802877834635,-0.1224975106424568,-0.13145469792137332,-0.12430209857301967,-0.10437303448428772,-0.08340300985344995,-0.17614989314547919,-0.11454729644133937
11,BUENA VISTA,-0.05788112770832991,-0.0981441595917553,0.05798059136165648,-0.1035496114833765,-0.026764945441676558,-0.12851600646955608,-0.07207251249805954,-0.07665164960885545,-0.1027842293564523,-0.00023390864186744603,0.008710198005353683,0.0100228581730239,-0.11851658568707224,0.02875371270415608
12,BUTLER,-0.018076730326714325,-0.03951573538220295,-0.030346630434814413,-0.09341363745631605,-0.038655877816721515,-0.1022124491081143,-0.01869474008480219,0.03228425123628739,0.0496743882018547,0.013185757367896888,0.04738029935097625,0.008873491170692756,-0.08280957131905176,0.03261427963852055
