,Variable,Coefficient
29,DICKINSON,3.0885620576391872
16,CERRO GORDO,0.9329360387824541
13,CARROLL,0.806045005742579
14,CASS,0.7345715321214041
20,CLAY,0.6995908095436765
72,PAGE,0.6901168175357502
73,PALO ALTO,0.6876512743242366
55,LEE,0.6281126388126463
87,UNION,0.6069865916156216
44,HOWARD,0.6037517013557767
45,HUMBOLDT,0.5785903075155692
82,SHELBY,0.5424812548407758
31,EMMET,0.5240764623935188
3,APPANOOSE,0.521605594942364
68,MONTGOMERY,0.4900997337298736
28,DES MOINES,0.48129280258035745
19,CLARKE,0.45695273269086056
0,Intercept,0.4358787973836956
46,IDA,0.39451661918334313
22,CLINTON,0.3864881586876516
10,BUENA VISTA,0.3839679746261072
33,FLOYD,0.37941305411945403
2,ALLAMAKEE,0.35366943467303574
80,SAC,0.3382108975988884
54,KOSSUTH,0.3362514636077323
59,LYON,0.3275142432125428
95,WINNESHIEK,0.31633229261151163
70,O'BRIEN,0.30082284101408807
96,WOODBURY,0.296435540749042
50,JEFFERSON,0.27810802662021744
48,JACKSON,0.2609032556465093
123,year_2020,0.2581355647706862
36,GREENE,0.2519026765813507
23,CRAWFORD,0.24543081736133582
27,DELAWARE,0.24305432796858434
91,WASHINGTON,0.230297213999564
17,CHEROKEE,0.22182870644474756
115,month_12,0.22079247210272213
77,POTTAWATTAMIE,0.2116889697467418
113,month_10,0.21077894697422697
58,LUCAS,0.2100093341428611
108,month_5,0.2028029927141446
122,year_2019,0.19454710871987674
109,month_6,0.18692811498692333
8,BREMER,0.1673966621811559
118,year_2015,0.16353803149542218
121,year_2018,0.16202986711339998
111,month_8,0.16140834296418557
110,month_7,0.15418308848826967
43,HENRY,0.1459701838518696
67,MONROE,0.13328844952683533
117,year_2014,0.13216175181887513
30,DUBUQUE,0.1281630638823888
66,MONONA,0.12742443562275257
107,month_4,0.1205981053583324
105,month_2,0.11111468540617334
112,month_9,0.10726286808082913
114,month_11,0.10644150772528993
61,MAHASKA,0.10424921047892087
98,WRIGHT,0.10013147952547298
65,MITCHELL,0.09766928361997179
106,month_3,0.0839833724256061
41,HARDIN,0.08361073329455825
94,WINNEBAGO,0.08335444392987804
69,MUSCATINE,0.08136739332038118
89,WAPELLO,0.07831040186449628
74,PLYMOUTH,0.07624681400282259
71,OSCEOLA,0.0746409655135739
81,SCOTT,0.04270387066434875
62,MARION,0.04246173845650257
32,FAYETTE,0.042212254092789545
116,year_2013,0.0394410236710264
103,Tuesday,0.03396023997647512
75,POCAHONTAS,0.029367025390639994
83,SIOUX,0.02297671429674684
100,Saturday,0.009786969554969629
63,MARSHALL,0.009281917782759823
34,FRANKLIN,0.004092815874728922
97,WORTH,-0.002801647074090814
42,HARRISON,-0.006664596896325016
104,Wednesday,-0.006872378045514088
99,Monday,-0.008554030139714789
119,year_2016,-0.012709639389594105
102,Thursday,-0.03401597239998662
78,POWESHIEK,-0.03870339603524148
6,BLACK HAWK,-0.04909618147265267
85,TAMA,-0.04990859705603458
7,BOONE,-0.05011731134715561
9,BUCHANAN,-0.05181258516153528
60,MADISON,-0.05683834123779423
93,WEBSTER,-0.056891639277177476
52,JONES,-0.06351550754355423
1,ADAMS,-0.08725598554176889
76,POLK,-0.08730449527893308
39,HAMILTON,-0.0914785673016484
51,JOHNSON,-0.11494079562477241
4,AUDUBON,-0.12986675169835135
56,LINN,-0.15030471062043546
79,RINGGOLD,-0.1521427229739561
88,VAN BUREN,-0.16283705462364875
64,MILLS,-0.16736274037523113
18,CHICKASAW,-0.17840599497258114
84,STORY,-0.19683369578547755
47,IOWA,-0.2011076577664846
38,GUTHRIE,-0.20255465345453944
12,CALHOUN,-0.2077469411223975
40,HANCOCK,-0.21516097076979196
24,DALLAS,-0.22007796009738417
57,LOUISA,-0.2836919219323556
26,DECATUR,-0.30313718096579634
21,CLAYTON,-0.3213939299247356
86,TAYLOR,-0.322833189248472
90,WARREN,-0.32471528976132563
49,JASPER,-0.34238902625372447
5,BENTON,-0.34581038995041447
92,WAYNE,-0.363573649408714
53,KEOKUK,-0.3808435765926089
15,CEDAR,-0.3808556915270399
37,GRUNDY,-0.41103551909138325
35,FREMONT,-0.4218602621844315
25,DAVIS,-0.4537814120338889
11,BUTLER,-0.4836818266296062
120,year_2017,-0.6698920303921766
101,Sunday,-0.7480670827785914
