,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Native American Prop,0.10055131374354742,0.21391877305042128,0.4649569236719131,0.16516814019860232,0.04221012329747481,-0.020074728167852024,0.015988841038999335,-0.03609786014717306,0.2865913162557018,0.09269955728739664,0.2896928250733379,0.207146960066186,-0.10849667986547767,0.14465486020892554
1,Two+ Prop,0.2101538847133097,0.25300374484699145,0.19031106063040748,0.2297862026792981,0.26857222988976154,0.18711777902658916,0.1795375448656312,0.148842819514711,0.2624967931370572,0.15025933552980836,0.21320254016998225,0.16475673357727996,0.26676310259496755,0.2607023135633523
2,ADAMS,0.040661166542467535,0.031829326207635227,0.041920518025047315,0.044055914153035974,0.04330303596608021,0.04453271610194921,0.04318548873583293,0.04838019934095479,0.036916660299584556,0.046341345361657474,0.03865709590556499,0.03615988978935462,0.04191411646213415,0.03773846685480599
3,ALLAMAKEE,0.037651531861670834,0.03962576403274483,0.03608214410052164,0.04016073457588433,0.041412511701849446,0.04445885074384873,0.040948587077876936,0.042707967418168014,0.036750507381908826,0.039197304497455086,0.038546728343663975,0.0379027224386248,0.041500064426748765,0.037025137757716264
4,APPANOOSE,0.0396085017681248,0.0360771653395537,0.041869866768852626,0.039111765329427714,0.03688144279929109,0.03822677664852514,0.04226606532425993,0.039948245537404975,0.04139454236543172,0.04479328911732848,0.03464742894826897,0.03874535722892303,0.04121714759323061,0.03762101856552803
5,AUDUBON,0.03898400797158389,0.03938748446435596,0.03862238228293051,0.04399481397007768,0.036445778038843635,0.04398331044192726,0.03859438669859043,0.04316626437687906,0.038731256379996595,0.0398094532968724,0.036796208757354884,0.03958178211795191,0.0371091331523729,0.03669205077849055
6,BENTON,0.04144688729259309,0.04287339935476225,0.04271078736528709,0.04237553195167572,0.03660286012507741,0.03991187556122769,0.03854463054814031,0.043271400336235576,0.03968548122639888,0.043698079697149006,0.039882779150634665,0.04087686967956181,0.039643977529768656,0.03909089263945593
7,BLACK HAWK,0.038377148766871066,0.036244190701103615,0.0405798837985529,0.038603789936745916,0.03591986883746245,0.03904026821302568,0.0391729275567549,0.041888300300132686,0.03768810630402221,0.03959625080563631,0.036036644639098385,0.037213618979281174,0.037794599375092414,0.033330298306849096
8,BOONE,0.04024108519099613,0.0394086252445895,0.04014321652811524,0.044424592855121056,0.03914136309342568,0.038474380557121504,0.0377973277441777,0.03971953615939969,0.039321133547704945,0.0433009877131534,0.03609619706438762,0.03815621962572911,0.04003223220418743,0.03619224881510204
9,BREMER,0.038780744798939164,0.040188864231150014,0.040590554725490675,0.03903359536826631,0.04005394290699838,0.04178439687640957,0.043719334510542676,0.04534249734586502,0.038883409388350054,0.04077441665153431,0.041131877287838396,0.03937926476650357,0.04232802791865722,0.038291892348007256
10,BUCHANAN,0.039850488695387265,0.04144940062150099,0.041751690022215196,0.03848575863470429,0.03840495911164392,0.04284313948189176,0.040960506708877284,0.04224194459381035,0.03686520044382584,0.03657585075988974,0.03755475276412136,0.0394983640392485,0.0426038979057993,0.03948991365270855
11,BUENA VISTA,0.03596854197644875,0.03452571262989863,0.03929269088054792,0.041824371563500884,0.03470833672064083,0.03560544523238572,0.04171570836976882,0.04054849785657765,0.03802596391303707,0.03935576113610885,0.03745264512592812,0.033047919383006705,0.03561158215631946,0.03538939139145078
12,BUTLER,0.043343118210499534,0.03865620304346274,0.04319482845739739,0.044235932165369765,0.034228473669256174,0.04523287850897005,0.042367789702816,0.03911262971631318,0.044239736835952184,0.04683389167534133,0.04103585084613591,0.04498366834199073,0.04342569343370226,0.03953300377623283
13,CALHOUN,0.042296780941980444,0.039642659703682054,0.0395668100538283,0.03927827775905977,0.035401448713143685,0.03894708376784968,0.03820538868560845,0.03801783574296887,0.038587807336615994,0.04417370354360853,0.03662346324733115,0.03833823843517421,0.038803277899223235,0.03807975845261128
14,CARROLL,0.040178169273319526,0.03722317309880063,0.03705120242400209,0.036981030806243154,0.03651338741302854,0.039724479580966095,0.04267365925532521,0.04488393948332596,0.03824687409203885,0.043740658650204274,0.04338599189945248,0.03693758778593706,0.04457516915975413,0.03262449195149282
15,CASS,0.041206862328602656,0.04105898878278658,0.042972744609748266,0.04110529237355376,0.04157904865565361,0.043691466046273636,0.0390608261942004,0.044336532868713974,0.0420816244903881,0.04358337687219944,0.039195171907617204,0.040325527211541416,0.04250543732946876,0.03660365128071563
16,CEDAR,0.040909298799670715,0.0386118956399742,0.04214707820240013,0.041589110323004316,0.04290516930490786,0.04141600447962058,0.042124655570360034,0.043956300765153625,0.04221107163011206,0.04484826090342533,0.03811094612867463,0.03888046109861218,0.04222530410696816,0.039805475725287316
17,CERRO GORDO,0.03749845127590587,0.039256111611374475,0.03888272960110472,0.04068163167780964,0.037720103494152016,0.04000422101699245,0.0392312002281776,0.04171261676397686,0.03580099395598996,0.04082447646340521,0.03627197268310359,0.04353483377633572,0.03639846631640892,0.03210962392208323
18,CHEROKEE,0.03488826892867601,0.03644737606887538,0.03899784016051503,0.04233355963522535,0.0307046782191145,0.03731329549367674,0.03491828508274449,0.038047957010819616,0.03701028748455981,0.04195433300565257,0.03975730773130928,0.0334579710372597,0.038767588571174336,0.0314699281247217
19,CHICKASAW,0.038191934290180696,0.04241743065307338,0.04212121855031224,0.042331850681871626,0.03823463710097646,0.0407204939970768,0.04273445786389857,0.04192462684321524,0.03949656933708327,0.04498794609111443,0.03727627198648556,0.041946601574935294,0.04428425474114947,0.038596471511425375
20,CLARKE,0.04077929575746343,0.039638512118649875,0.04423427049012328,0.03993326503022546,0.03499867281798831,0.03721480742180261,0.04544808767905012,0.0427745033108712,0.039557330354088246,0.04225744186852672,0.03817482023671721,0.03624593628446,0.038315619069233885,0.03708581497962995
21,CLAY,0.04130545322175616,0.03833018881396591,0.042100735361508476,0.04067948743284498,0.037041373705348296,0.04231391106694512,0.03922551259893481,0.038589195885828494,0.0425883434803386,0.04603963679309635,0.037151493279739115,0.03525875189624436,0.03843894345679828,0.0366384535941063
22,CLAYTON,0.041456830163286815,0.0421954840930404,0.040737481291484516,0.04102498686048479,0.041102790172516064,0.03926755450027335,0.043566663966685515,0.040805933476308745,0.04186958648314611,0.047047012256477144,0.0365689757618644,0.04098482190189734,0.03683131561732292,0.03854143525069586
23,CLINTON,0.0384297514536779,0.0387127676099462,0.042517333817811455,0.03393309641653365,0.03591623522609749,0.03440398099928274,0.03518668328918495,0.043484859450678856,0.03697626040247197,0.04266099217159732,0.034063975089192025,0.038251425648202504,0.04075845130886915,0.03450159435867521
24,CRAWFORD,0.03419587175970033,0.030209840605053863,0.0352707419537517,0.038624730957928746,0.031061753441591226,0.033866048360431014,0.035569309878126634,0.03986247079900783,0.03532292445514604,0.04320565218752251,0.03230976086463913,0.03414351815457502,0.03734280843991444,0.03196882797599852
25,DALLAS,0.037591590772060486,0.03562164113917003,0.04260183587711966,0.04016204989235392,0.033357676708112446,0.037527110456798504,0.03849771407701982,0.03675763856229889,0.034288328149621204,0.03976960176435533,0.03527268996796315,0.03693454258693281,0.03812017757852418,0.03567631603884436
26,DAVIS,0.04308489915033495,0.03434130541094682,0.04415808283585276,0.04391457720050562,0.03929218540581325,0.045550476971671014,0.04332859219430282,0.04412078537727508,0.04105515820282264,0.04465972563919902,0.041186239170280886,0.03905770535090543,0.041863797348465445,0.03920091695259695
27,DECATUR,0.04004061926542804,0.035274544043574954,0.04060712478849692,0.04117158110802991,0.03534678635741976,0.04427873432873304,0.042702708582315535,0.037256090059085666,0.03930623978793211,0.043089505901654765,0.03635922510926691,0.03610015992453271,0.04195074542033246,0.03855217397725706
28,DELAWARE,0.03686740811269902,0.03640996262711775,0.040626046417421686,0.037278985356849884,0.03311795943571323,0.04167890673465505,0.04106948241279953,0.03962461265278498,0.04344494433216528,0.03901412950174772,0.03845698277395233,0.038053561708550745,0.04307681621228378,0.03821479892118747
29,DES MOINES,0.03532674394266696,0.0405928581701389,0.041828066381060534,0.034987125255096875,0.0348122016194993,0.04086855349569113,0.04399079388745382,0.04013722992469994,0.03751575804579781,0.04302844357759808,0.03838398117571002,0.0361547471482875,0.03912079011106646,0.03410526637786733
30,DICKINSON,0.039262253753999554,0.0383642489872435,0.04475693802560218,0.041197035428616115,0.04236989120644405,0.04189365063577444,0.04226009537016019,0.03960968186616225,0.04315884749893831,0.043456378317822494,0.040102089201130175,0.03340117298345429,0.04254277922685558,0.0406974620726052
31,DUBUQUE,0.038682140137096296,0.037865781548939964,0.03835477301364826,0.03832364348200523,0.03728130148717026,0.0415519122583841,0.039258031355618964,0.038089239841444245,0.03846776805157684,0.03720837531990006,0.037547358670049415,0.038046850307084164,0.039572902255343684,0.035540104448001625
32,EMMET,0.03981081417273666,0.03842294971889602,0.043888096529553625,0.041408240769716234,0.04019788295812662,0.04019999050075027,0.039943166975205294,0.03979881936806511,0.04177604304244012,0.04171098878708734,0.04204297749676185,0.035941746564404894,0.04590177760857351,0.04104638834210446
33,FAYETTE,0.03968367130070628,0.03818836551714921,0.038413799971485314,0.04109178868723708,0.033991510757518204,0.04204818518758268,0.039409556843724936,0.04053841855589513,0.03718770279306895,0.04249746409586769,0.03393178069861111,0.03991768529326775,0.038405599165135786,0.03767298761414571
34,FLOYD,0.03714367462301728,0.03584682689188529,0.038580939573627404,0.038449107987259395,0.0412707091054336,0.0388429747947278,0.03849227040667061,0.041761694634328,0.039849435381127604,0.03858714107023255,0.03564333779972867,0.036620672304397014,0.04435313327919557,0.03470597391358388
35,FRANKLIN,0.04502891746813486,0.042477463180800715,0.04234177291038864,0.04189184128573374,0.035104383219049524,0.03993504024110312,0.03883287241530582,0.040064809377449204,0.03889454445405878,0.045842075354315344,0.041704602063377186,0.035650458705930796,0.04282315631582166,0.03818656711659915
36,FREMONT,0.05018550564646126,0.0367786021083001,0.040479536824621874,0.04342415352830684,0.03909746864132624,0.033843011494009506,0.04673773166928668,0.04594024925714854,0.04769782764727229,0.046918159248653384,0.03159041110091215,0.038980321845923885,0.04291245037571302,0.03145102790561447
37,GREENE,0.03583724100985822,0.0366319193375705,0.040803838828566946,0.04598443518174462,0.03517280184403339,0.03862234428880651,0.03735728891008076,0.0400073318888054,0.03990512498811993,0.041103675890165156,0.04169302914958452,0.03781476545445145,0.04002082651333688,0.03405278631797594
38,GRUNDY,0.03859385666346864,0.042225409768580593,0.0439574882282575,0.04050106397580273,0.03803635527817317,0.04757246872088227,0.04355413366472802,0.04604739045860001,0.041904134161994074,0.04186457984596455,0.0400061972358101,0.03660645338287244,0.04200723745223175,0.03517459350028271
39,GUTHRIE,0.03860229940705967,0.04005041328789043,0.03832763301515799,0.03983835865277051,0.03950483705383269,0.04217170661405212,0.04405214523911183,0.04286552064619334,0.039920377259582335,0.04708701661973226,0.041845766354934914,0.03830278777497459,0.04215499565347212,0.039412518197160185
40,HAMILTON,0.04133293579721631,0.04052012550654244,0.043270423820688464,0.04089101196180876,0.038039723454678875,0.04045721541528686,0.04199321670877525,0.042721243226421846,0.03828438106275245,0.04229426561726023,0.039461007848664145,0.03967338807557508,0.041061956938532415,0.03802350567312556
41,HANCOCK,0.04063826351036055,0.0384737026931925,0.042102860239938575,0.038237674990333564,0.039583277200491,0.04085010115942679,0.04263677142054671,0.04332461321763001,0.041633640641093636,0.03828964320047806,0.034883415276530494,0.036701838754110434,0.04131397405952332,0.04361633682732696
42,HARDIN,0.04130464741123369,0.03770741280882571,0.0402312513437029,0.04068865309811471,0.03599786613782318,0.04038571371862961,0.04100904990128763,0.043987959671034575,0.04067514519360371,0.04176920714363702,0.03742948059047247,0.03959701807923411,0.04306768285589552,0.036131170045144864
