,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Poverty ,0.0021509641598491907,0.0024612226222187035,0.00238668573742169,0.0023484833720271853,0.002293510369522981,0.002537439467006594,0.002539412230022512,0.0025289030682822686,0.0025775203621466493,0.0022588426579384867,0.002467621401162688,0.002379963381539443,0.002337099463076111,0.002786452083511198
1,Pacific Prop,0.4144393754696373,0.3953724504021814,0.12591644718177347,0.5841224609973074,-0.17792707684044598,0.20159372702932132,-0.07773967206728294,0.5823980387737719,0.4108258750833965,-0.28431291303604245,0.3604272439509331,0.4789257632357063,0.33669413092636313,0.34148973740888866
2,ADAMS,0.029238059373780028,0.01943276376388337,0.013286670632946036,0.021548628430348476,0.0184462055268612,0.01950989192894328,0.014768690510491171,0.02442434590414621,0.02179490027892364,0.019773967148077463,0.021062176506271048,0.020087556357847126,0.02001831512975172,0.017830760248074538
3,ALLAMAKEE,0.026928861899397347,0.022343896328728963,0.018173527784318792,0.019510609462812575,0.024786165809612612,0.023102693315496928,0.022415230516035417,0.02063288449788857,0.021961066462968137,0.030842418337591094,0.017224786799470433,0.02236309177573345,0.019968462566392425,0.018613311936251514
4,APPANOOSE,0.012630949880529574,0.009974383907139275,-0.001328234202138264,0.00868585687178065,0.006718611841620199,0.006340968120205917,0.00846559966680249,0.007675700631350925,0.0070101762510827986,0.006773870216569368,0.011429533116787113,0.017482787019977103,0.008930229833279148,0.0010512007938697871
5,AUDUBON,0.02394174765982967,0.02787325096330552,0.021251501144870448,0.026133536533759175,0.026692167144710493,0.018965028883890178,0.02679569318270146,0.020861322146689544,0.026456368157862863,0.02554439599032276,0.023046868564586265,0.026660360942024106,0.019791535353476723,0.022165058471255963
6,BENTON,0.03377067784021954,0.026801464261669943,0.024839526516293762,0.028161408397028492,0.02958956728443814,0.023975883582575224,0.026303004365985403,0.028166366696748588,0.02856720536917437,0.028476506523188415,0.0320212929591871,0.026470618952194283,0.025581845126643236,0.025800186554671062
7,BLACK HAWK,0.017778261107507423,0.006587041705044851,0.009225702589709272,0.013621067848646251,0.013963657329014646,0.008320143290605686,0.012111877210747742,0.007607547922514207,0.009937815377346835,0.010544578239900716,0.009455389088935222,0.011947259121936483,0.011687247700220303,0.007359247867214198
8,BOONE,0.029537747802366385,0.0250839555936577,0.027425367080976544,0.02763599785874203,0.03442072625328735,0.025695417589596918,0.0275550087471739,0.026192093182109775,0.025120557848822875,0.030204560651066987,0.02670743041149567,0.024753995430904816,0.02823300323542395,0.02466542338725001
9,BREMER,0.028667170562240135,0.023583294838536707,0.029902720511915358,0.031452511318606394,0.032425603073988216,0.02980961777685155,0.030901821084669587,0.03352305664083165,0.032680279842402474,0.030244630197045742,0.030896139070396126,0.027790308180279086,0.028275603633043715,0.029003671327214018
