,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Poverty ,0.000782605717264356,0.006172059699761395,0.0007230093470810821,0.0007476322407152131,8.135686929249051e-05,-0.001366058015128806,-0.0025590503014602827,-0.003262750476848406,-0.0028221101067979495,0.0012613279298331664,-0.0047801523974973425,-0.004130471002587197,-0.0038171361003960422,-0.0023786727120705484
1,White Prop,0.7421690531431264,0.6422856555593663,0.6996936360219302,0.7571983044671717,0.74237318760358,0.7086734682565492,0.7495693540668482,0.7479925949621056,0.7192429028724298,0.7145390725476217,0.7798290442435646,0.7806110779434835,0.7395220203998939,0.7589589530408113
2,ADAMS,0.03154095794800185,0.09382796053652023,0.05706714437175861,-0.01787735190130149,0.02242369209551405,0.02801818565414306,0.10467961455568484,0.0926929431735868,0.1459541796808034,0.043711695858146785,0.09123994613967204,0.03040530396972276,-0.05438713249656349,0.024392354517089328
3,ALLAMAKEE,-0.019483823521431486,0.04917248474949329,0.09697594824829056,-0.012603872313022159,0.059680555957912385,0.09266919241830843,0.02886507344096552,0.08212628222541318,0.0025511412408894952,0.03957038263925253,0.07383435631079471,0.0493621250588157,0.05763724223424934,0.03126634398499654
4,APPANOOSE,-0.058079691343437816,0.026894540965996812,-0.0015147487615727873,0.059916906123911165,-0.03948516738622568,0.13098935872093995,0.051584272936864246,-0.006718344216342792,0.04911898297349464,-0.04567095072786215,0.01726448107285461,0.06332820815369691,0.08221837868208709,0.030124652494802315
5,AUDUBON,-0.039451537161603246,0.06215174821118429,0.08557270657811951,-0.0010442216819777847,-0.049594897430894985,0.05078655883699726,-0.018178974830788446,0.02074632505722769,0.09683364331472046,0.029936754550321226,0.042118334818462666,0.07686730250872714,0.03942310366241965,0.03776117453112673
6,BENTON,-0.02869042123165985,0.10770002462826972,0.03076765617918497,0.013608047294696484,0.014212395089554988,0.03149325416039588,0.03411600713897729,0.019309127193401464,0.05238203513137382,0.00019552026201536885,0.03288186717442003,0.04721270354098553,0.03644897151961499,0.009398254235055116
7,BLACK HAWK,0.05738620682542263,0.11417205924703895,0.13923431528951274,0.09453889197272096,0.09904468915699544,0.17632902839004927,0.15573138985682441,0.15835586271919344,0.1785877980972121,0.12226138450506477,0.1434808499252717,0.20025183130572355,0.1895082841482505,0.1325018027590928
8,BOONE,0.02221259464154659,0.07176084376285102,0.07542088315675441,-0.029675191603697325,-0.004110302044190654,0.09616585929015972,-0.0025975618774556793,0.019660216227162717,0.0810198235684251,0.05557583026871463,2.8570969566640847e-05,0.009425594009027979,0.0010414524132095898,-0.04279901036418804
9,BREMER,-0.009775507691563014,0.08549673856975279,0.017920020327037815,0.001988247603363833,0.07630233157124124,0.07266344936947858,0.02773538764361566,0.10496083102092346,0.03144728107586174,0.025200209204713307,0.019209754390655635,0.03313876537537225,0.027181566834677005,0.06161540160165982
10,BUCHANAN,-0.029148757556922873,0.027826433258613028,0.01856712172042916,-0.010584728122945967,0.025378070668169515,0.03050393112743978,0.02101317920727694,0.0017551079340640333,0.02734356720720055,-0.01904562327018248,0.03889285605065178,0.11150210053882412,-0.02012864640210081,0.0412001164281093
11,BUENA VISTA,0.1371018450244796,0.141113742778675,0.13046233964144788,0.09026728467712292,0.22366337897144095,0.2612568058747249,0.1628129222437234,0.25710608799303336,0.2326732480471257,0.1917045067464342,0.20148583203061643,0.1902345248951656,0.2102944774366517,0.18884339530146993
12,BUTLER,-0.002085140341865563,0.05131850350881628,0.018476465368614952,-0.06584785600583391,0.05885783095182655,0.06223052213044863,0.041108904987244566,0.06641551127293906,0.04941545672294212,0.04709879321851018,0.054487954124648005,0.023307470014033098,-0.04005429222749371,0.011701668017862748
13,CALHOUN,0.0006212957672193653,0.04688404343534342,0.06442007757838737,-0.06652765380934506,-0.032252526655495356,0.07976693889718,0.04084209462425588,0.02637587016210028,0.01673679675900139,0.07031953828978119,0.015498098538696175,0.05942957612110295,0.026091834372995074,0.056296716357619875
14,CARROLL,-0.0031724271198363984,0.10282517383287734,0.009818988332079209,-0.003220326152871111,0.022794457060479313,0.05250826334546943,0.03303543139699224,0.02869495902961203,0.05210289770924807,-0.016718171677104387,0.04611073135704762,0.025299310332845153,0.017996547639873187,0.035426107081084665
15,CASS,-0.009801055153807992,0.05778444197449769,-0.001950596874284052,0.057891154285947134,-0.0430053396195773,0.05064641223369477,0.04215335227385359,0.02970155269192702,0.07218922453165896,0.07939154006024295,-0.004672569678482667,-0.0012392372003647584,0.0383010249108569,0.07567404929476834
16,CEDAR,-0.043952429423874756,0.09416360317506198,0.038535139973533174,0.0080473469963742,-0.005980861352902756,0.08300451824556995,0.045349394978989634,0.08343491717006742,-0.0216028097179044,0.00760720025664862,0.04449566027039672,-0.009147200906474157,0.0512478858831488,0.02558083673649174
17,CERRO GORDO,-0.010176426449227272,0.04838307826164987,0.031508168680267686,0.0027705645870273743,0.014664691524995492,0.13085900703491202,0.06131670759866423,0.06799819240993209,0.10798383072915822,0.009628472782454121,0.05179012170540556,0.08786946482713598,0.06609963161492066,0.05585548977825513
18,CHEROKEE,0.018879961696753066,0.07421297597292548,0.030205919205668123,0.0008511152950000291,-0.0420517967220319,0.04179140915897447,0.039996619070567556,0.1465630301779382,0.11601078409579108,0.08531565397809038,0.06304116651349574,0.03282768948869981,0.10568971409947531,0.05680923508509368
19,CHICKASAW,-0.05843395018567958,0.11773396590877849,-0.011623948366535644,-0.06964712102598952,-0.08703666315100268,0.03835105113336907,0.034995684283908694,0.0009214785692630376,0.01701772541730354,0.018689972024997812,0.05851703403850689,0.021859510192689797,-0.023008893344912795,-0.05042669914955693
20,CLARKE,-0.004651124581883451,0.016063017173004852,0.02178627719242864,-0.05613039291529019,0.060645523463650784,0.026306157942505105,0.03323596023015672,0.09710887378959149,0.09157344917714735,-0.007034369213306489,0.06284714359241653,0.05495607408183378,0.052052791097659284,0.08272632916465882
21,CLAY,0.03044891682779275,0.10085006786228952,0.041948843813808506,0.09095164904847895,0.016031056721811893,0.1591339432935508,0.022960471226300266,0.006602326809410475,0.07242396573046962,0.05867481967516277,-0.01025767093664226,0.026958272767856666,-0.023403276840514325,0.02481130283746753
22,CLAYTON,-0.02620387411101493,0.05363041588326185,0.014520545709253641,-0.07491627797439802,-0.013311167375238948,0.02756733997503708,0.027863838544500228,0.06153420205659512,0.03565251308699839,0.07455952663859694,0.06318309588711353,0.05247413276597898,-0.010089307433725166,0.039321906538885135
23,CLINTON,-0.0094211175610561,0.031727905339410764,0.059256917791940276,-0.010846518048221808,0.010769357370393794,0.1356329996019645,0.07279555130517874,0.08902574622334587,0.0743011968919166,0.04056524891108657,0.15175024623429512,0.06453386140892191,0.05916484252043491,0.01980935431981953
24,CRAWFORD,0.0767793600074089,0.03268383201759825,0.09287116751451681,0.08113357035607391,0.0848398799522076,0.16826728051087667,0.1889154321811156,0.12056568548177801,0.1941444209121377,0.05042792913613359,0.1579846109218518,0.16578110671756716,0.10447704611368741,0.10248903698451445
25,DALLAS,0.018021485988635535,0.12103176880697684,0.11222402857240006,0.08063922318409988,0.04953927042934074,0.0741307822603342,0.09386934232722986,0.09957115363722162,0.07738820185067041,0.10778347382384348,0.1105021999318418,0.06442117181115173,0.04245274803311737,0.042544830248759574
26,DAVIS,0.0744246477697455,0.03896126396507028,0.03754077760591058,-0.03875405185631083,-0.005561591069486185,0.11713155115280127,0.03725909762626084,0.07061592020813062,0.057474885011942735,-0.036256921403818934,0.08076952842916915,0.0188446320923893,0.061500278895556024,0.01928791805522479
27,DECATUR,0.04368837931110563,0.01704565383398025,0.025356359809631954,0.01807566545184835,0.01379120272080711,0.14265932797249192,0.0470648099748055,0.07874271754130255,0.05340402798885077,0.06535812503372582,0.09334563603346326,0.07145988867641945,0.03361192753588831,0.022629846729952312
28,DELAWARE,0.017435440681440924,0.12808547001355314,-0.028856313137010047,-0.058175505122219584,-0.02260154438424794,0.10700634710738013,0.03239670769919438,0.08004706164185794,0.04525581867501728,0.014146355832928434,0.07777590151972859,0.021081050190677023,-0.0313590846934778,0.0353161021819257
29,DES MOINES,0.04351197101595304,0.04483693917310812,0.05477143260598316,0.03954552527246786,0.024607968103599213,0.09957225824414032,0.10061770254242364,0.1359984885078034,0.1694060968441629,0.05486068387936196,0.087981179700736,0.054840770717239445,0.13608672892831986,0.13172926400886031
30,DICKINSON,-0.00887806340314171,0.011146553799725054,0.046375597719508256,-0.038171130240430284,0.08317262885928316,0.023292503461532645,0.04320995525175201,-0.004262926766563363,0.034411428815497594,-0.03829800324749417,-0.025037720817709913,-0.02417569293939939,0.11617213757558181,-0.07427195599183956
31,DUBUQUE,0.025661706359157,0.07582424503130264,0.03322364284413649,0.01337920708064283,0.05149100194652252,0.10971258699879712,0.004114400561034018,0.05592274117587748,0.04586333103367518,0.04154972327025546,0.07319960577123585,0.07271445028622728,0.04586883501381356,0.0949190021937996
