,predictor,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Poverty ,0.0025945677056323597,0.0022290697131356644,0.0022718823891691576,0.0021787423896915746,0.0024537287809346152,0.0023093308906387273,0.002185753535609811,0.0023783027779628613,0.002381049625377248,0.0024185264226857447,0.0026335295181250736,0.0024034900545608353,0.002217390016434617,0.0022230725906903196
1,Pacific Prop,0.4015769945913033,0.3304699843041061,0.25480286835441457,0.4708708372049222,1.1941157480317945,0.4503918871286674,0.7089959468384179,0.3440214438484617,0.5986582249042883,0.3452916242986776,0.23882454292178013,0.30375250493154177,0.3798074446207843,0.006833615843983287
2,ADAMS,0.01449769127233245,0.020706030396704482,0.029387015440256733,0.02295928693716335,0.018815959287792706,0.019335298765592236,0.02283660057795715,0.01799192016774094,0.016504089099036584,0.023777193083299543,0.020888096501016983,0.018460742387487357,0.027350097577880917,0.019823496907287227
3,ALLAMAKEE,0.019229035295314507,0.023936679555103566,0.019990223581998586,0.024817962140972576,0.020542590279047337,0.01829953097123288,0.024170031896895414,0.019763066826098633,0.021496387640351965,0.020692513298304984,0.018602346614013814,0.021276004282828966,0.02843233223020615,0.021100713666355478
4,APPANOOSE,0.0018161594662525569,0.008827805143008793,0.006706190222182462,0.012995927827415397,0.00963124129258126,0.007068956234890128,0.009780485367947123,0.011458056563589723,0.004848047382214002,0.004477284438745185,-0.0005556440363535741,0.004713620523882809,0.007730752284724433,0.005011520580413507
5,AUDUBON,0.01762473545085831,0.0245401025948281,0.024968273643495523,0.023516368371921646,0.019461409971121967,0.01863564309294065,0.021694042035200672,0.024678950176370215,0.02201499337999633,0.020875589603105656,0.01704722181248928,0.018379965729170066,0.023662135544740587,0.02101742295777006
6,BENTON,0.024192106960723134,0.028353316070987747,0.02776206132119421,0.03155279889103875,0.021984404472622687,0.024880414887123056,0.021798431436465246,0.02706069974313206,0.02447997547533034,0.026213762228532753,0.022978916495501503,0.027459911169005643,0.027840974043195264,0.02582731742963884
7,BLACK HAWK,0.007672665587265605,0.012269034606447706,0.012267202413516223,0.01224801526775549,0.008063475431094763,0.012369871315352549,0.008163781088934317,0.009568381024471516,0.005497077780037357,0.007459294578950514,0.004681733272946504,0.010381804838221554,0.012934191219327783,0.01213379430441187
8,BOONE,0.023972231587568053,0.023090467727026255,0.02817142830090896,0.026407248418225254,0.024571007183916423,0.02877259611606678,0.023904197481283928,0.027159471936678992,0.027488015986708046,0.02495164499334634,0.02348218944163704,0.026207027265730376,0.0265744179682031,0.027634559265719377
9,BREMER,0.02901303180005181,0.0256124507639931,0.02956573678522557,0.030075928018227994,0.027218008626721215,0.026783480026312062,0.026161797964867266,0.030184676478843833,0.029307857911476803,0.030857300347176587,0.022825433666520234,0.028867358861366498,0.02830588661085318,0.0277459772862917
10,BUCHANAN,0.02539301250933666,0.02616178955215764,0.025112372027354495,0.030255411488420616,0.025046651693384082,0.026132676384249952,0.02327113852639832,0.02706005293032784,0.025363979217267178,0.0304162293509944,0.02378609694938527,0.026611921432228895,0.028125896811362773,0.02720758876504943
11,BUENA VISTA,0.007448642814754904,0.015114891490611333,0.012384449319969099,0.014581011395462288,-0.0006435938520761115,0.012926309262689641,0.010748717242764737,0.013854262605517295,0.01271360875294707,0.015000286881478492,0.008004221520659684,0.010475221232019981,0.0167288676490275,0.01812573832865174
12,BUTLER,0.02392728906977725,0.021970024300428506,0.022212674046933993,0.02778573999334532,0.017927685907391883,0.02795618279415507,0.021525005385189155,0.02639786396186118,0.027816612556076446,0.02288336552553721,0.01785261738815084,0.02285199477119039,0.02246485884867174,0.023465765939635005
13,CALHOUN,0.011465712780470549,0.019110452590113312,0.014897337014424151,0.01951137416177657,0.011174157030673582,0.019073762293449564,0.014409921004504726,0.010892564332716926,0.011651768157042545,0.015230360181788836,0.010876779677068148,0.018751924308354914,0.021370006713098185,0.017608469154881512
14,CARROLL,0.023566472062810664,0.03300764941684575,0.028779017515135664,0.03431926018184997,0.03115885692431887,0.028442298743208222,0.02543822350721528,0.0256870134051776,0.028151008566892823,0.029223429081521615,0.02585339383409889,0.029081746993078396,0.02238027067575023,0.02896981740051811
15,CASS,0.01610629785167827,0.021353073184559784,0.020534899023849876,0.0176163713700351,0.015399750966160197,0.015841575845410395,0.014848670840679047,0.01531817398856197,0.017157109763211414,0.018073171978831508,0.022758852088649216,0.010932393336073222,0.016925139543798887,0.01593388620704342
16,CEDAR,0.02734632752472556,0.02963120881476461,0.027849274890293388,0.032009038191288135,0.028284789056839628,0.03247736124149257,0.028140898937743738,0.03051397985682929,0.03000658769911241,0.03196810317813202,0.025554071268282193,0.027758417710295108,0.027868939689964654,0.0308859382910661
17,CERRO GORDO,0.018512131216561627,0.021213955075064062,0.01850705529020113,0.024399453388693725,0.02321220815352905,0.020949781834159138,0.01882055025010623,0.021616965866573162,0.020437263503383242,0.018192469015704524,0.0182803250056804,0.022694692530037922,0.0172851377754717,0.018914986282199037
18,CHEROKEE,0.01670021228241253,0.020770229438684867,0.019196196066623327,0.026570237051896817,0.01666375511247279,0.015399702565101736,0.019068581440501928,0.018546161976629165,0.018113120071112043,0.016472480849316108,0.01256137851782347,0.021431443713044333,0.01916007132176352,0.022464106832989137
19,CHICKASAW,0.027577682013426648,0.03024315987152299,0.03010303803259795,0.028870652594968342,0.024548034561689275,0.03129589037061583,0.020271572237369716,0.02852814618532393,0.027979122657027525,0.027941282229558856,0.024066677437997744,0.027554320340492176,0.02834571357395657,0.03129333020213723
20,CLARKE,0.006222375610763588,0.014438556326124315,0.004887849302554943,0.015984882501633067,0.00976379304629467,0.01285046580727332,0.009316934183704578,0.007446633893834184,0.0016419787768258616,0.012559395036442949,0.0019009376449827336,0.008427394530447021,0.007782443453286821,0.00741990200802717
21,CLAY,0.018088421810249215,0.022613174744176213,0.018319540246199157,0.02397603680859277,0.018805835903815828,0.02108599118953728,0.017927716113216578,0.022244921182805265,0.016341572927715008,0.023032381505894668,0.019675555213094074,0.019121402289232113,0.02360398150052756,0.02233957506554971
22,CLAYTON,0.022765122841338505,0.025260215534575445,0.020547869645697252,0.01950176987817085,0.021210834278766792,0.022145100014896245,0.018951471525044644,0.02130210200121592,0.017886915963254604,0.023453480876760267,0.01689463904955245,0.021914567273686028,0.020570959794190633,0.016372903060952286
23,CLINTON,0.012376406722267023,0.018126220497647158,0.014455674473684397,0.014322284551239706,0.01262099049597315,0.015652586026297943,0.012724119116210747,0.013357163288040472,0.013332597163648862,0.017361241082227752,0.011384904797919182,0.014658551134219903,0.014555631450964767,0.019161932579423196
24,CRAWFORD,0.00034768095870017,0.0029571131787233113,0.0018040424522298613,0.00443587713886807,-0.0030244684614891,0.004117628698909172,-0.003772600168260437,-0.0008750231716681653,-0.0028448266045890845,0.005411586511101707,-0.005759154248784801,-0.0025075247507341074,0.004170202418250887,0.0011254800620567528
25,DALLAS,0.0308245514708673,0.03562435415968529,0.03594046505424502,0.036584933454522836,0.03142881112198063,0.03239960090867513,0.029526540566760545,0.03467299877979832,0.032941696770939555,0.03528743495114589,0.029633386021334574,0.033903574965158896,0.03232213447666029,0.03144963270378537
26,DAVIS,0.011202496603085501,0.012472532853595043,0.012756806891278932,0.016482309616775936,0.018524397315434905,0.00941070670591949,0.013274650276759234,0.009217586172415367,0.013928055753267653,0.008247502855103587,0.014302523505177613,0.01325577994481348,0.012212770675020015,0.01582802718983672
27,DECATUR,-6.242609796943029e-06,0.007430301959378696,0.005705874885571299,0.006946618581565089,0.0033655319076542896,0.008164704691745753,-0.001297004571196398,0.0050773238753909255,-0.000725994043230341,0.005429450955814768,-0.0001861386739883137,-0.0014262817738252744,0.004693755714770553,0.007731648661047134
28,DELAWARE,0.02455029874864513,0.02488335270650898,0.02587835410442862,0.02578056146071664,0.026029829511154033,0.022215217714088586,0.019414546034081305,0.022678935814830888,0.024910355581674877,0.023103158257965238,0.018114378895912515,0.02723783421331415,0.025734741591471485,0.02344146822856052
29,DES MOINES,0.011989026508961801,0.011860785243308095,0.015373578501743517,0.012745042431279493,0.010224926636643641,0.013641762959116304,0.013270958469951855,0.008353326092946298,0.009999037058782499,0.011541242177676757,0.0060723872078249745,0.010027050946910549,0.014019196486667818,0.010478946980131573
30,DICKINSON,0.026491834575718312,0.030043231416976433,0.027933116252107395,0.03319230222656157,0.03240481189763062,0.02772966902744897,0.023625657596545672,0.031226364427374982,0.02882522652584605,0.025935137777358154,0.02746473058572336,0.02884564811304872,0.02961364024557717,0.03530657379536992
31,DUBUQUE,0.01895008558283301,0.02169582971503602,0.021179383837773177,0.022304777627739504,0.016833716185342587,0.02321977621117446,0.01674164079383614,0.018392871025497803,0.016296991384875247,0.023222629977013243,0.020269045317023178,0.022558415857157676,0.02067431273607412,0.023282609306837537
