"County","Year","Middle-Old","Middle-Young","Old","Young"
"Adair",2011,1630,1152,2193,632
"Adair",2012,1630,1152,2193,632
"Adair",2013,1630,1152,2193,632
"Adair",2014,1630,1152,2193,632
"Adair",2015,1630,1152,2193,632
"Adair",2016,1292,1164,2245,686
"Adair",2017,1292,1164,2245,686
"Adair",2018,1292,1164,2245,686
"Adair",2019,1292,1164,2245,686
"Adair",2020,1292,1164,2245,686
"Adams",2011,922,592,1096,380
"Adams",2012,922,592,1096,380
"Adams",2013,922,592,1096,380
"Adams",2014,922,592,1096,380
"Adams",2015,922,592,1096,380
"Adams",2016,714,557,1173,350
"Adams",2017,714,557,1173,350
"Adams",2018,714,557,1173,350
"Adams",2019,714,557,1173,350
"Adams",2020,714,557,1173,350
"Allamakee",2011,3081,2236,3965,1251
"Allamakee",2012,3081,2236,3965,1251
"Allamakee",2013,3081,2236,3965,1251
"Allamakee",2014,3081,2236,3965,1251
"Allamakee",2015,3081,2236,3965,1251
"Allamakee",2016,2733,2142,4098,1271
"Allamakee",2017,2733,2142,4098,1271
"Allamakee",2018,2733,2142,4098,1271
"Allamakee",2019,2733,2142,4098,1271
"Allamakee",2020,2733,2142,4098,1271
"Appanoose",2011,2678,2052,3592,1233
"Appanoose",2012,2678,2052,3592,1233
"Appanoose",2013,2678,2052,3592,1233
"Appanoose",2014,2678,2052,3592,1233
"Appanoose",2015,2678,2052,3592,1233
"Appanoose",2016,2427,1883,3899,1051
"Appanoose",2017,2427,1883,3899,1051
"Appanoose",2018,2427,1883,3899,1051
"Appanoose",2019,2427,1883,3899,1051
"Appanoose",2020,2427,1883,3899,1051
"Audubon",2011,1363,834,1797,470
"Audubon",2012,1363,834,1797,470
"Audubon",2013,1363,834,1797,470
"Audubon",2014,1363,834,1797,470
"Audubon",2015,1363,834,1797,470
"Audubon",2016,1118,796,1831,534
"Audubon",2017,1118,796,1831,534
"Audubon",2018,1118,796,1831,534
"Audubon",2019,1118,796,1831,534
"Audubon",2020,1118,796,1831,534
"Benton",2011,6064,4570,5701,2207
"Benton",2012,6064,4570,5701,2207
"Benton",2013,6064,4570,5701,2207
"Benton",2014,6064,4570,5701,2207
"Benton",2015,6064,4570,5701,2207
"Benton",2016,5505,4417,6568,2327
"Benton",2017,5505,4417,6568,2327
"Benton",2018,5505,4417,6568,2327
"Benton",2019,5505,4417,6568,2327
"Benton",2020,5505,4417,6568,2327
"Black Hawk",2011,24012,22774,27259,20809
"Black Hawk",2012,24012,22774,27259,20809
"Black Hawk",2013,24012,22774,27259,20809
"Black Hawk",2014,24012,22774,27259,20809
"Black Hawk",2015,24012,22774,27259,20809
"Black Hawk",2016,21472,22834,30209,20148
"Black Hawk",2017,21472,22834,30209,20148
"Black Hawk",2018,21472,22834,30209,20148
"Black Hawk",2019,21472,22834,30209,20148
"Black Hawk",2020,21472,22834,30209,20148
"Boone",2011,5711,4770,6317,2641
"Boone",2012,5711,4770,6317,2641
"Boone",2013,5711,4770,6317,2641
"Boone",2014,5711,4770,6317,2641
"Boone",2015,5711,4770,6317,2641
"Boone",2016,5326,4895,6791,2957
"Boone",2017,5326,4895,6791,2957
"Boone",2018,5326,4895,6791,2957
"Boone",2019,5326,4895,6791,2957
"Boone",2020,5326,4895,6791,2957
"Bremer",2011,4648,4191,6029,2728
"Bremer",2012,4648,4191,6029,2728
"Bremer",2013,4648,4191,6029,2728
"Bremer",2014,4648,4191,6029,2728
"Bremer",2015,4648,4191,6029,2728
"Bremer",2016,4518,4391,6328,2763
"Bremer",2017,4518,4391,6328,2763
"Bremer",2018,4518,4391,6328,2763
"Bremer",2019,4518,4391,6328,2763
"Bremer",2020,4518,4391,6328,2763
"Buchanan",2011,4483,3729,4565,2050
"Buchanan",2012,4483,3729,4565,2050
"Buchanan",2013,4483,3729,4565,2050
"Buchanan",2014,4483,3729,4565,2050
"Buchanan",2015,4483,3729,4565,2050
"Buchanan",2016,3781,3796,5339,1936
"Buchanan",2017,3781,3796,5339,1936
"Buchanan",2018,3781,3796,5339,1936
"Buchanan",2019,3781,3796,5339,1936
"Buchanan",2020,3781,3796,5339,1936
"Buena Vista",2011,4064,3225,4285,2652
"Buena Vista",2012,4064,3225,4285,2652
"Buena Vista",2013,4064,3225,4285,2652
"Buena Vista",2014,4064,3225,4285,2652
"Buena Vista",2015,4064,3225,4285,2652
"Buena Vista",2016,3579,3496,4153,2599
"Buena Vista",2017,3579,3496,4153,2599
"Buena Vista",2018,3579,3496,4153,2599
"Buena Vista",2019,3579,3496,4153,2599
"Buena Vista",2020,3579,3496,4153,2599
"Butler",2011,3091,2522,4134,1255
"Butler",2012,3091,2522,4134,1255
"Butler",2013,3091,2522,4134,1255
"Butler",2014,3091,2522,4134,1255
"Butler",2015,3091,2522,4134,1255
"Butler",2016,2746,2429,4405,1206
"Butler",2017,2746,2429,4405,1206
"Butler",2018,2746,2429,4405,1206
"Butler",2019,2746,2429,4405,1206
