County,Poverty ,Year,Middle-Old,Middle-Young,Old,Young,Population,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME,HighIncome,LowIncome,MidIncome
Adair,11.10,2016.00,1292.00,1164.00,2245.00,686.00,7006.00,6820.00,48.00,34.00,26.00,0.00,14.00,55.00,18.00,0.00,14.00,22.00,28.00,117.00,41.00,275.00,402.00,1341.00
Adair,11.10,2017.00,1292.00,1164.00,2245.00,686.00,7047.00,6820.00,48.00,34.00,26.00,0.00,14.00,55.00,18.00,0.00,14.00,22.00,28.00,117.00,41.00,275.00,402.00,1341.00
Adair,11.10,2018.00,1292.00,1164.00,2245.00,686.00,7028.00,6820.00,48.00,34.00,26.00,0.00,14.00,55.00,18.00,0.00,14.00,22.00,28.00,117.00,41.00,275.00,402.00,1341.00
Adair,11.10,2019.00,1292.00,1164.00,2245.00,686.00,7102.00,6820.00,48.00,34.00,26.00,0.00,14.00,55.00,18.00,0.00,14.00,22.00,28.00,117.00,41.00,275.00,402.00,1341.00
Adair,11.10,2020.00,1292.00,1164.00,2245.00,686.00,7059.00,6820.00,48.00,34.00,26.00,0.00,14.00,55.00,18.00,0.00,14.00,22.00,28.00,117.00,41.00,275.00,402.00,1341.00
Adams,13.40,2016.00,714.00,557.00,1173.00,350.00,3690.00,3515.00,17.00,4.00,7.00,8.00,13.00,23.00,24.00,0.00,10.00,34.00,16.00,49.00,29.00,169.00,191.00,649.00
Adams,13.40,2017.00,714.00,557.00,1173.00,350.00,3655.00,3515.00,17.00,4.00,7.00,8.00,13.00,23.00,24.00,0.00,10.00,34.00,16.00,49.00,29.00,169.00,191.00,649.00
Adams,13.40,2018.00,714.00,557.00,1173.00,350.00,3628.00,3515.00,17.00,4.00,7.00,8.00,13.00,23.00,24.00,0.00,10.00,34.00,16.00,49.00,29.00,169.00,191.00,649.00
Adams,13.40,2019.00,714.00,557.00,1173.00,350.00,3602.00,3515.00,17.00,4.00,7.00,8.00,13.00,23.00,24.00,0.00,10.00,34.00,16.00,49.00,29.00,169.00,191.00,649.00
Adams,13.40,2020.00,714.00,557.00,1173.00,350.00,3588.00,3515.00,17.00,4.00,7.00,8.00,13.00,23.00,24.00,0.00,10.00,34.00,16.00,49.00,29.00,169.00,191.00,649.00
Allamakee,11.40,2016.00,2733.00,2142.00,4098.00,1271.00,13847.00,13129.00,105.00,164.00,80.00,151.00,99.00,69.00,23.00,0.00,16.00,56.00,54.00,192.00,100.00,499.00,802.00,2354.00
Allamakee,11.40,2017.00,2733.00,2142.00,4098.00,1271.00,13812.00,13129.00,105.00,164.00,80.00,151.00,99.00,69.00,23.00,0.00,16.00,56.00,54.00,192.00,100.00,499.00,802.00,2354.00
Allamakee,11.40,2018.00,2733.00,2142.00,4098.00,1271.00,13832.00,13129.00,105.00,164.00,80.00,151.00,99.00,69.00,23.00,0.00,16.00,56.00,54.00,192.00,100.00,499.00,802.00,2354.00
Allamakee,11.40,2019.00,2733.00,2142.00,4098.00,1271.00,13671.00,13129.00,105.00,164.00,80.00,151.00,99.00,69.00,23.00,0.00,16.00,56.00,54.00,192.00,100.00,499.00,802.00,2354.00
Allamakee,11.40,2020.00,2733.00,2142.00,4098.00,1271.00,13642.00,13129.00,105.00,164.00,80.00,151.00,99.00,69.00,23.00,0.00,16.00,56.00,54.00,192.00,100.00,499.00,802.00,2354.00
Appanoose,19.70,2016.00,2427.00,1883.00,3899.00,1051.00,12515.00,12051.00,37.00,77.00,56.00,49.00,36.00,35.00,34.00,0.00,16.00,15.00,22.00,235.00,71.00,383.00,1374.00,1502.00
Appanoose,19.70,2017.00,2427.00,1883.00,3899.00,1051.00,12367.00,12051.00,37.00,77.00,56.00,49.00,36.00,35.00,34.00,0.00,16.00,15.00,22.00,235.00,71.00,383.00,1374.00,1502.00
