County,Income,Families,Families ME,Year
Adair,LowIncome,44,24,2016
Adair,LowIncome,44,24,2017
Adair,LowIncome,44,24,2018
Adair,LowIncome,44,24,2019
Adair,LowIncome,44,24,2020
Adair,LowIncome,32,21,2016
Adair,LowIncome,32,21,2017
Adair,LowIncome,32,21,2018
Adair,LowIncome,32,21,2019
Adair,LowIncome,32,21,2020
Adair,LowIncome,58,28,2016
Adair,LowIncome,58,28,2017
Adair,LowIncome,58,28,2018
Adair,LowIncome,58,28,2019
Adair,LowIncome,58,28,2020
Adair,LowIncome,45,30,2016
Adair,LowIncome,45,30,2017
Adair,LowIncome,45,30,2018
Adair,LowIncome,45,30,2019
Adair,LowIncome,45,30,2020
Adair,LowIncome,83,27,2016
Adair,LowIncome,83,27,2017
Adair,LowIncome,83,27,2018
Adair,LowIncome,83,27,2019
Adair,LowIncome,83,27,2020
Adair,LowIncome,61,29,2016
Adair,LowIncome,61,29,2017
Adair,LowIncome,61,29,2018
Adair,LowIncome,61,29,2019
Adair,LowIncome,61,29,2020
Adair,LowIncome,79,34,2016
Adair,LowIncome,79,34,2017
Adair,LowIncome,79,34,2018
Adair,LowIncome,79,34,2019
Adair,LowIncome,79,34,2020
Adair,MidIncome,90,37,2016
Adair,MidIncome,90,37,2017
Adair,MidIncome,90,37,2018
Adair,MidIncome,90,37,2019
Adair,MidIncome,90,37,2020
Adair,MidIncome,131,61,2016
Adair,MidIncome,131,61,2017
Adair,MidIncome,131,61,2018
Adair,MidIncome,131,61,2019
Adair,MidIncome,131,61,2020
Adair,MidIncome,136,39,2016
Adair,MidIncome,136,39,2017
Adair,MidIncome,136,39,2018
Adair,MidIncome,136,39,2019
Adair,MidIncome,136,39,2020
Adair,MidIncome,220,53,2016
Adair,MidIncome,220,53,2017
Adair,MidIncome,220,53,2018
Adair,MidIncome,220,53,2019
Adair,MidIncome,220,53,2020
Adair,MidIncome,465,82,2016
Adair,MidIncome,465,82,2017
Adair,MidIncome,465,82,2018
Adair,MidIncome,465,82,2019
Adair,MidIncome,465,82,2020
Adair,MidIncome,299,64,2016
Adair,MidIncome,299,64,2017
Adair,MidIncome,299,64,2018
Adair,MidIncome,299,64,2019
