County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Adair,2016-2020,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2011-2015,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adams,2016-2020,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2011-2015,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Allamakee,2016-2020,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2011-2015,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Appanoose,2016-2020,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2011-2015,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Audubon,2016-2020,"5,343",41,2,3,0,14,2,6,0,14,20,29,161,54
Audubon,2011-2015,"5,732",12,19,18,39,40,19,17,0,13,0,13,60,35
Benton,2016-2020,"24,651",147,94,45,40,35,100,31,0,18,186,113,487,120
Benton,2011-2015,"25,226",93,181,57,8,12,55,34,0,17,65,68,268,89
Black Hawk,2016-2020,"109,478",571,"12,674",462,523,149,"3,558",154,367,200,"1,412",397,"3,801",649
Black Hawk,2011-2015,"112,912",435,"12,130",471,327,121,"2,246",218,23,28,"1,997",428,"2,861",426
Boone,2016-2020,"25,259",145,299,164,133,135,68,55,69,111,174,138,379,156
Boone,2011-2015,"25,658",29,235,132,54,44,85,75,10,16,30,28,329,124
Bremer,2016-2020,"23,942",77,263,71,66,58,279,52,15,30,86,50,381,94
Bremer,2011-2015,"23,737",65,269,50,49,17,187,53,45,58,60,38,192,81
Buchanan,2016-2020,"20,533",74,30,21,44,39,73,96,2,4,3,5,456,126
Buchanan,2011-2015,"20,514",52,79,50,73,18,95,26,0,17,78,52,159,56
Buena Vista,2016-2020,"14,718",455,450,68,12,14,"2,099",43,332,10,"1,482",444,857,289
Buena Vista,2011-2015,"16,611",444,590,57,6,7,"1,589",59,181,17,"1,119",431,411,243
Butler,2016-2020,"14,100",67,122,58,25,14,82,59,12,16,29,23,138,87
Butler,2011-2015,"14,702",17,59,39,20,23,70,39,0,15,0,15,115,44
Calhoun,2016-2020,"9,196",56,153,50,18,16,36,10,0,14,66,52,187,53
Calhoun,2011-2015,"9,533",34,134,45,44,39,29,9,0,13,21,17,153,57
Carroll,2016-2020,"19,056",84,103,139,84,100,134,4,0,18,236,87,537,157
Carroll,2011-2015,"20,025",90,314,106,14,18,16,21,7,12,69,77,184,121
Cass,2016-2020,"12,577",66,79,64,36,41,43,16,17,25,92,60,146,67
Cass,2011-2015,"13,253",73,57,48,45,30,52,5,14,16,49,48,120,48
Cedar,2016-2020,"17,974",26,150,44,41,31,117,31,0,16,16,19,177,60
Cedar,2011-2015,"17,871",45,72,58,14,15,113,48,0,15,53,39,252,82
Cerro Gordo,2016-2020,"39,878",227,906,255,154,81,488,91,91,89,285,125,870,252
Cerro Gordo,2011-2015,"41,325",208,544,135,98,65,492,67,0,20,249,144,773,193
Cherokee,2016-2020,"10,479",117,344,133,0,16,125,74,0,16,8,10,325,130
Cherokee,2011-2015,"11,534",31,54,45,42,41,13,16,0,15,23,26,187,45
Chickasaw,2016-2020,"11,696",67,65,44,16,18,12,17,2,4,53,62,126,41
Chickasaw,2011-2015,"12,009",41,67,48,9,16,69,46,0,15,23,20,67,39
Clarke,2016-2020,"9,046",37,11,14,33,34,5,7,0,14,41,33,247,37
Clarke,2011-2015,"8,910",203,13,18,0,13,42,39,0,13,247,204,68,76
Clay,2016-2020,"15,425",145,19,18,16,19,110,49,0,16,149,108,419,107
Clay,2011-2015,"15,857",128,118,105,18,22,29,29,63,62,200,171,252,121
Clayton,2016-2020,"17,047",57,138,60,42,21,74,16,0,16,61,45,165,80
Clayton,2011-2015,"17,384",66,166,19,9,12,56,23,0,15,12,14,179,67
Clinton,2016-2020,"43,623",163,"1,338",202,118,98,311,87,3,4,76,51,"1,265",268
Clinton,2011-2015,"45,280",170,"1,352",170,197,44,322,50,0,20,285,162,929,228
Crawford,2016-2020,"13,847",732,528,65,95,63,387,27,23,31,"1,424",762,694,265
Crawford,2011-2015,"15,790",396,209,191,148,102,54,48,31,45,616,323,404,196
Dallas,2016-2020,"80,317",598,"1,720",246,95,89,"4,163",357,104,123,776,353,"3,243",792
Dallas,2011-2015,"68,894",356,843,166,50,32,"2,551",166,68,71,926,355,"1,560",235
Davis,2016-2020,"8,753",46,0,14,38,47,51,41,0,14,19,25,116,45
Davis,2011-2015,"8,612",13,18,18,0,13,27,10,0,13,0,13,85,22
Decatur,2016-2020,"7,451",57,96,38,0,14,75,34,14,18,34,26,238,57
Decatur,2011-2015,"7,875",24,139,30,42,13,58,26,13,16,11,15,111,43
Delaware,2016-2020,"16,559",133,40,47,16,17,85,58,0,16,109,92,298,88
Delaware,2011-2015,"17,202",51,39,43,3,4,59,12,0,15,7,8,197,66
Des Moines,2016-2020,"35,184",103,"2,375",238,44,61,363,96,2,6,132,98,"1,127",267
Des Moines,2011-2015,"36,545",92,"2,194",192,45,54,252,69,0,20,128,75,"1,044",218
Dickinson,2016-2020,"16,696",80,31,34,30,23,171,61,0,16,58,60,274,89
Dickinson,2011-2015,"16,583",63,52,23,23,25,39,38,33,45,30,38,207,82
Dubuque,2016-2020,"89,329",262,"3,042",263,231,126,"1,144",146,577,26,451,189,"2,419",317
Dubuque,2011-2015,"89,788",218,"1,862",272,91,62,"1,273",108,300,21,210,147,"2,382",341
Emmet,2016-2020,"8,681",169,200,66,12,25,26,32,0,14,214,139,189,114
Emmet,2011-2015,"9,575",67,149,61,38,41,17,13,10,16,38,32,90,48
Fayette,2016-2020,"18,595",157,299,94,26,26,87,60,1,3,29,28,567,193
Fayette,2011-2015,"19,790",85,223,103,105,79,157,28,0,17,39,34,275,111
Floyd,2016-2020,"14,651",150,241,96,87,95,240,15,107,93,47,40,340,181
Floyd,2011-2015,"15,202",83,325,124,1,2,121,88,7,11,58,51,336,140
Franklin,2016-2020,"9,688",137,133,71,5,6,0,16,0,16,18,26,247,158
Franklin,2011-2015,"9,660",178,112,59,7,10,24,24,0,15,555,176,131,99
Fremont,2016-2020,"6,611",57,58,40,18,13,0,14,0,14,85,55,123,57
Fremont,2011-2015,"6,880",48,21,18,45,26,0,13,0,13,60,49,100,27
Greene,2016-2020,"8,540",88,33,28,13,22,47,18,0,14,72,51,218,77
Greene,2011-2015,"8,982",4,5,5,4,5,40,17,3,6,0,13,140,19
Grundy,2016-2020,"11,992",24,85,52,9,12,40,15,0,16,0,16,136,62
Grundy,2011-2015,"12,196",29,51,31,16,17,47,7,0,15,13,14,84,34
Guthrie,2016-2020,"10,287",50,26,27,14,14,27,10,0,16,103,51,245,47
Guthrie,2011-2015,"10,495",30,81,44,12,8,16,22,25,35,49,29,62,18
Hamilton,2016-2020,"13,890",119,184,26,26,31,405,73,40,64,93,81,267,90
Hamilton,2011-2015,"14,326",170,102,48,0,15,342,53,0,15,357,170,170,78
Hancock,2016-2020,"10,241",82,143,62,30,18,41,42,0,16,114,68,140,64
Hancock,2011-2015,"10,769",36,72,40,14,21,34,15,8,11,45,33,150,50
Hardin,2016-2020,"16,007",99,225,78,102,46,64,57,19,29,113,89,394,125
Hardin,2011-2015,"16,659",117,178,69,48,45,167,91,0,15,171,106,170,92
Harrison,2016-2020,"13,666",37,41,32,34,29,37,24,19,24,16,15,230,59
