County,Income,Families,Families ME,Year
Adair,"Less than $10,000",44,24,2016-2020
Adair,"$10,000 to $14,999",32,21,2016-2020
Adair,"$15,000 to $19,999",58,28,2016-2020
Adair,"$20,000 to $24,999",45,30,2016-2020
Adair,"$25,000 to $29,999",83,27,2016-2020
Adair,"$30,000 to $34,999",61,29,2016-2020
Adair,"$35,000 to $39,999",79,34,2016-2020
Adair,"$40,000 to $44,999",90,37,2016-2020
Adair,"$45,000 to $49,999",131,61,2016-2020
Adair,"$50,000 to $59,999",136,39,2016-2020
Adair,"$60,000 to $74,999",220,53,2016-2020
Adair,"$75,000 to $99,999",465,82,2016-2020
Adair,"$100,000 to $124,999",299,64,2016-2020
Adair,"$125,000 to $149,999",135,45,2016-2020
Adair,"$150,000 to $199,999",112,61,2016-2020
Adair,"$200,000 or more",28,18,2016-2020
Adams,"Less than $10,000",30,22,2016-2020
Adams,"$10,000 to $14,999",10,9,2016-2020
Adams,"$15,000 to $19,999",2,5,2016-2020
Adams,"$20,000 to $24,999",22,16,2016-2020
Adams,"$25,000 to $29,999",39,27,2016-2020
Adams,"$30,000 to $34,999",41,28,2016-2020
Adams,"$35,000 to $39,999",47,20,2016-2020
Adams,"$40,000 to $44,999",34,16,2016-2020
Adams,"$45,000 to $49,999",59,28,2016-2020
Adams,"$50,000 to $59,999",96,34,2016-2020
Adams,"$60,000 to $74,999",216,55,2016-2020
Adams,"$75,000 to $99,999",178,52,2016-2020
Adams,"$100,000 to $124,999",66,30,2016-2020
Adams,"$125,000 to $149,999",74,28,2016-2020
Adams,"$150,000 to $199,999",54,23,2016-2020
Adams,"$200,000 or more",41,27,2016-2020
Allamakee,"Less than $10,000",108,54,2016-2020
Allamakee,"$10,000 to $14,999",83,49,2016-2020
Allamakee,"$15,000 to $19,999",90,37,2016-2020
Allamakee,"$20,000 to $24,999",85,43,2016-2020
Allamakee,"$25,000 to $29,999",219,92,2016-2020
Allamakee,"$30,000 to $34,999",108,65,2016-2020
Allamakee,"$35,000 to $39,999",109,49,2016-2020
Allamakee,"$40,000 to $44,999",95,42,2016-2020
Allamakee,"$45,000 to $49,999",228,82,2016-2020
Allamakee,"$50,000 to $59,999",271,89,2016-2020
Allamakee,"$60,000 to $74,999",515,122,2016-2020
Allamakee,"$75,000 to $99,999",650,112,2016-2020
Allamakee,"$100,000 to $124,999",595,139,2016-2020
Allamakee,"$125,000 to $149,999",206,79,2016-2020
Allamakee,"$150,000 to $199,999",87,36,2016-2020
Allamakee,"$200,000 or more",206,100,2016-2020
Appanoose,"Less than $10,000",257,111,2016-2020
Appanoose,"$10,000 to $14,999",62,34,2016-2020
Appanoose,"$15,000 to $19,999",182,96,2016-2020
Appanoose,"$20,000 to $24,999",135,52,2016-2020
Appanoose,"$25,000 to $29,999",198,70,2016-2020
Appanoose,"$30,000 to $34,999",255,91,2016-2020
Appanoose,"$35,000 to $39,999",285,100,2016-2020
Appanoose,"$40,000 to $44,999",130,52,2016-2020
Appanoose,"$45,000 to $49,999",125,51,2016-2020
Appanoose,"$50,000 to $59,999",259,75,2016-2020
Appanoose,"$60,000 to $74,999",339,105,2016-2020
Appanoose,"$75,000 to $99,999",442,94,2016-2020
Appanoose,"$100,000 to $124,999",207,60,2016-2020
Appanoose,"$125,000 to $149,999",144,63,2016-2020
Appanoose,"$150,000 to $199,999",169,66,2016-2020
Appanoose,"$200,000 or more",70,40,2016-2020
Audubon,"Less than $10,000",32,21,2016-2020
Audubon,"$10,000 to $14,999",52,35,2016-2020
Audubon,"$15,000 to $19,999",37,24,2016-2020
Audubon,"$20,000 to $24,999",90,39,2016-2020
Audubon,"$25,000 to $29,999",32,17,2016-2020
Audubon,"$30,000 to $34,999",86,44,2016-2020
Audubon,"$35,000 to $39,999",120,62,2016-2020
Audubon,"$40,000 to $44,999",66,28,2016-2020
Audubon,"$45,000 to $49,999",109,50,2016-2020
Audubon,"$50,000 to $59,999",167,48,2016-2020
Audubon,"$60,000 to $74,999",226,43,2016-2020
Audubon,"$75,000 to $99,999",246,60,2016-2020
Audubon,"$100,000 to $124,999",125,50,2016-2020
Audubon,"$125,000 to $149,999",101,44,2016-2020
