County,Age,Age Group Estimate,Age Group ME,Year
Adair,Young,68,65,2016
Adair,Young,68,65,2017
Adair,Young,68,65,2018
Adair,Young,68,65,2019
Adair,Young,68,65,2020
Adair,Young,218,74,2016
Adair,Young,218,74,2017
Adair,Young,218,74,2018
Adair,Young,218,74,2019
Adair,Young,218,74,2020
Adair,Young,400,36,2016
Adair,Young,400,36,2017
Adair,Young,400,36,2018
Adair,Young,400,36,2019
Adair,Young,400,36,2020
Adair,Middle-Young,426,31,2016
Adair,Middle-Young,426,31,2017
Adair,Middle-Young,426,31,2018
Adair,Middle-Young,426,31,2019
Adair,Middle-Young,426,31,2020
Adair,Middle-Young,487,87,2016
Adair,Middle-Young,487,87,2017
Adair,Middle-Young,487,87,2018
Adair,Middle-Young,487,87,2019
Adair,Middle-Young,487,87,2020
Adair,Middle-Young,251,85,2016
Adair,Middle-Young,251,85,2017
Adair,Middle-Young,251,85,2018
Adair,Middle-Young,251,85,2019
Adair,Middle-Young,251,85,2020
Adair,Middle-Old,352,28,2016
Adair,Middle-Old,352,28,2017
Adair,Middle-Old,352,28,2018
Adair,Middle-Old,352,28,2019
Adair,Middle-Old,352,28,2020
Adair,Middle-Old,466,35,2016
Adair,Middle-Old,466,35,2017
Adair,Middle-Old,466,35,2018
Adair,Middle-Old,466,35,2019
Adair,Middle-Old,466,35,2020
Adair,Middle-Old,474,102,2016
Adair,Middle-Old,474,102,2017
Adair,Middle-Old,474,102,2018
Adair,Middle-Old,474,102,2019
Adair,Middle-Old,474,102,2020
Adair,Old,281,76,2016
Adair,Old,281,76,2017
Adair,Old,281,76,2018
Adair,Old,281,76,2019
Adair,Old,281,76,2020
Adair,Old,387,79,2016
Adair,Old,387,79,2017
Adair,Old,387,79,2018
Adair,Old,387,79,2019
Adair,Old,387,79,2020
Adair,Old,204,63,2016
Adair,Old,204,63,2017
Adair,Old,204,63,2018
Adair,Old,204,63,2019
Adair,Old,204,63,2020
Adair,Old,193,61,2016
Adair,Old,193,61,2017
Adair,Old,193,61,2018
Adair,Old,193,61,2019
Adair,Old,193,61,2020
Adair,Old,380,77,2016
Adair,Old,380,77,2017
Adair,Old,380,77,2018
Adair,Old,380,77,2019
Adair,Old,380,77,2020
Adair,Old,311,74,2016
Adair,Old,311,74,2017
Adair,Old,311,74,2018
Adair,Old,311,74,2019
Adair,Old,311,74,2020
Adair,Old,188,64,2016
Adair,Old,188,64,2017
Adair,Old,188,64,2018
Adair,Old,188,64,2019
Adair,Old,188,64,2020
Adair,Old,301,97,2016
Adair,Old,301,97,2017
Adair,Old,301,97,2018
Adair,Old,301,97,2019
Adair,Old,301,97,2020
Adams,Young,30,30,2016
Adams,Young,30,30,2017
Adams,Young,30,30,2018
Adams,Young,30,30,2019
Adams,Young,30,30,2020
Adams,Young,114,51,2016
Adams,Young,114,51,2017
Adams,Young,114,51,2018
Adams,Young,114,51,2019
Adams,Young,114,51,2020
Adams,Young,206,25,2016
Adams,Young,206,25,2017
Adams,Young,206,25,2018
Adams,Young,206,25,2019
Adams,Young,206,25,2020
Adams,Middle-Young,199,22,2016
Adams,Middle-Young,199,22,2017
Adams,Middle-Young,199,22,2018
Adams,Middle-Young,199,22,2019
Adams,Middle-Young,199,22,2020
Adams,Middle-Young,205,44,2016
Adams,Middle-Young,205,44,2017
Adams,Middle-Young,205,44,2018
