County,Population,Year
Polk,494281,2020
Linn,227854,2020
Scott,173216,2020
Johnson,153740,2020
Black Hawk,130786,2020
Woodbury,103138,2020
Story,98237,2020
Dubuque,97590,2020
Dallas,96963,2020
Pottawattamie,93328,2020
Warren,52265,2020
Clinton,46392,2020
Muscatine,42394,2020
Cerro Gordo,42103,2020
Marshall,39495,2020
Des Moines,38708,2020
Jasper,37148,2020
Webster,35934,2020
Wapello,34985,2020
Sioux,35043,2020
Lee,33480,2020
Marion,33168,2020
Boone,26277,2020
Benton,25414,2020
Plymouth,25219,2020
Bremer,25311,2020
Mahaska,22370,2020
Washington,21992,2020
Buchanan,21287,2020
Jones,20617,2020
Carroll,19914,2020
Winneshiek,19862,2020
Henry,19697,2020
Buena Vista,19772,2020
Fayette,19258,2020
Jackson,19205,2020
Cedar,18485,2020
Poweshiek,18381,2020
Jefferson,18347,2020
Clayton,17321,2020
Dickinson,17549,2020
Delaware,16937,2020
Tama,16801,2020
Crawford,16834,2020
Hardin,16575,2020
Madison,16521,2020
Iowa,16138,2020
Clay,15976,2020
Floyd,15480,2020
Page,15073,2020
Mills,14766,2020
Hamilton,14716,2020
Kossuth,14680,2020
Butler,14333,2020
Harrison,13928,2020
O'Brien,13679,2020
Allamakee,13642,2020
Cass,12817,2020
Wright,12416,2020
Appanoose,12430,2020
Grundy,12217,2020
Union,12157,2020
Chickasaw,11834,2020
Lyon,11756,2020
Shelby,11430,2020
Cherokee,11190,2020
Louisa,11011,2020
Guthrie,10737,2020
Hancock,10507,2020
Mitchell,10647,2020
Winnebago,10277,2020
Keokuk,10085,2020
Franklin,9971,2020
Montgomery,9935,2020
Sac,9603,2020
Calhoun,9473,2020
Humboldt,9473,2020
Clarke,9353,2020
Emmet,9095,2020
Howard,9176,2020
Davis,9051,2020
Greene,8795,2020
Palo Alto,8845,2020
Monona,8598,2020
Lucas,8518,2020
Decatur,7769,2020
Monroe,7770,2020
Worth,7359,2020
Adair,7059,2020
Van Buren,7069,2020
Fremont,6729,2020
Ida,6833,2020
Pocahontas,6607,2020
Wayne,6415,2020
Taylor,6092,2020
Osceola,5987,2020
Audubon,5481,2020
Ringgold,4801,2020
Adams,3588,2020
Polk,491031,2019
Linn,227241,2019
Scott,173400,2019
Johnson,152480,2019
Black Hawk,131089,2019
Woodbury,103132,2019
Story,97441,2019
Dubuque,97432,2019
Dallas,93631,2019
Pottawattamie,93405,2019
Warren,51548,2019
Clinton,46559,2019
Muscatine,42571,2019
Cerro Gordo,42477,2019
Marshall,39472,2019
Des Moines,39051,2019
Jasper,37171,2019
Webster,35982,2019
Wapello,35151,2019
Sioux,34950,2019
Lee,33641,2019
Marion,33280,2019
Boone,26338,2019
Benton,25544,2019
Plymouth,25200,2019
Bremer,25170,2019
Mahaska,22429,2019
Washington,22030,2019
