County,Income,Families,Families ME,Year
Adair,LowIncome,44.00,24.00,2016
Adair,LowIncome,44.00,24.00,2017
Adair,LowIncome,44.00,24.00,2018
Adair,LowIncome,44.00,24.00,2019
Adair,LowIncome,44.00,24.00,2020
Adair,LowIncome,32.00,21.00,2016
Adair,LowIncome,32.00,21.00,2017
Adair,LowIncome,32.00,21.00,2018
Adair,LowIncome,32.00,21.00,2019
Adair,LowIncome,32.00,21.00,2020
Adair,LowIncome,58.00,28.00,2016
Adair,LowIncome,58.00,28.00,2017
Adair,LowIncome,58.00,28.00,2018
Adair,LowIncome,58.00,28.00,2019
Adair,LowIncome,58.00,28.00,2020
Adair,LowIncome,45.00,30.00,2016
Adair,LowIncome,45.00,30.00,2017
Adair,LowIncome,45.00,30.00,2018
Adair,LowIncome,45.00,30.00,2019
Adair,LowIncome,45.00,30.00,2020
Adair,LowIncome,83.00,27.00,2016
Adair,LowIncome,83.00,27.00,2017
Adair,LowIncome,83.00,27.00,2018
Adair,LowIncome,83.00,27.00,2019
Adair,LowIncome,83.00,27.00,2020
Adair,LowIncome,61.00,29.00,2016
Adair,LowIncome,61.00,29.00,2017
Adair,LowIncome,61.00,29.00,2018
Adair,LowIncome,61.00,29.00,2019
Adair,LowIncome,61.00,29.00,2020
Adair,LowIncome,79.00,34.00,2016
Adair,LowIncome,79.00,34.00,2017
Adair,LowIncome,79.00,34.00,2018
Adair,LowIncome,79.00,34.00,2019
Adair,LowIncome,79.00,34.00,2020
Adair,MidIncome,90.00,37.00,2016
Adair,MidIncome,90.00,37.00,2017
Adair,MidIncome,90.00,37.00,2018
Adair,MidIncome,90.00,37.00,2019
Adair,MidIncome,90.00,37.00,2020
Adair,MidIncome,131.00,61.00,2016
Adair,MidIncome,131.00,61.00,2017
Adair,MidIncome,131.00,61.00,2018
Adair,MidIncome,131.00,61.00,2019
Adair,MidIncome,131.00,61.00,2020
Adair,MidIncome,136.00,39.00,2016
Adair,MidIncome,136.00,39.00,2017
Adair,MidIncome,136.00,39.00,2018
Adair,MidIncome,136.00,39.00,2019
Adair,MidIncome,136.00,39.00,2020
Adair,MidIncome,220.00,53.00,2016
Adair,MidIncome,220.00,53.00,2017
Adair,MidIncome,220.00,53.00,2018
Adair,MidIncome,220.00,53.00,2019
Adair,MidIncome,220.00,53.00,2020
Adair,MidIncome,465.00,82.00,2016
Adair,MidIncome,465.00,82.00,2017
Adair,MidIncome,465.00,82.00,2018
Adair,MidIncome,465.00,82.00,2019
Adair,MidIncome,465.00,82.00,2020
Adair,MidIncome,299.00,64.00,2016
Adair,MidIncome,299.00,64.00,2017
Adair,MidIncome,299.00,64.00,2018
Adair,MidIncome,299.00,64.00,2019
Adair,MidIncome,299.00,64.00,2020
Adair,HighIncome,135.00,45.00,2016
Adair,HighIncome,135.00,45.00,2017
Adair,HighIncome,135.00,45.00,2018
Adair,HighIncome,135.00,45.00,2019
Adair,HighIncome,135.00,45.00,2020
Adair,HighIncome,112.00,61.00,2016
Adair,HighIncome,112.00,61.00,2017
Adair,HighIncome,112.00,61.00,2018
Adair,HighIncome,112.00,61.00,2019
Adair,HighIncome,112.00,61.00,2020
Adair,HighIncome,28.00,18.00,2016
Adair,HighIncome,28.00,18.00,2017
Adair,HighIncome,28.00,18.00,2018
Adair,HighIncome,28.00,18.00,2019
Adair,HighIncome,28.00,18.00,2020
Adams,LowIncome,30.00,22.00,2016
Adams,LowIncome,30.00,22.00,2017
Adams,LowIncome,30.00,22.00,2018
Adams,LowIncome,30.00,22.00,2019
Adams,LowIncome,30.00,22.00,2020
Adams,LowIncome,10.00,9.00,2016
Adams,LowIncome,10.00,9.00,2017
Adams,LowIncome,10.00,9.00,2018
Adams,LowIncome,10.00,9.00,2019
Adams,LowIncome,10.00,9.00,2020
Adams,LowIncome,2.00,5.00,2016
Adams,LowIncome,2.00,5.00,2017
Adams,LowIncome,2.00,5.00,2018
Adams,LowIncome,2.00,5.00,2019
Adams,LowIncome,2.00,5.00,2020
Adams,LowIncome,22.00,16.00,2016
Adams,LowIncome,22.00,16.00,2017
Adams,LowIncome,22.00,16.00,2018
Adams,LowIncome,22.00,16.00,2019
Adams,LowIncome,22.00,16.00,2020
Adams,LowIncome,39.00,27.00,2016
Adams,LowIncome,39.00,27.00,2017
Adams,LowIncome,39.00,27.00,2018
Adams,LowIncome,39.00,27.00,2019
Adams,LowIncome,39.00,27.00,2020
Adams,LowIncome,41.00,28.00,2016
Adams,LowIncome,41.00,28.00,2017
Adams,LowIncome,41.00,28.00,2018
Adams,LowIncome,41.00,28.00,2019
Adams,LowIncome,41.00,28.00,2020
Adams,LowIncome,47.00,20.00,2016
Adams,LowIncome,47.00,20.00,2017
Adams,LowIncome,47.00,20.00,2018
Adams,LowIncome,47.00,20.00,2019
