"County","Year","HighIncome","LowIncome","MidIncome"
"Adair",2011,215,539,1296
"Adair",2012,215,539,1296
"Adair",2013,215,539,1296
"Adair",2014,215,539,1296
"Adair",2015,215,539,1296
"Adair",2016,275,402,1341
"Adair",2017,275,402,1341
"Adair",2018,275,402,1341
"Adair",2019,275,402,1341
"Adair",2020,275,402,1341
"Adams",2011,120,261,790
"Adams",2012,120,261,790
"Adams",2013,120,261,790
"Adams",2014,120,261,790
"Adams",2015,120,261,790
"Adams",2016,169,191,649
"Adams",2017,169,191,649
"Adams",2018,169,191,649
"Adams",2019,169,191,649
"Adams",2020,169,191,649
"Allamakee",2011,382,1255,2319
"Allamakee",2012,382,1255,2319
"Allamakee",2013,382,1255,2319
"Allamakee",2014,382,1255,2319
"Allamakee",2015,382,1255,2319
"Allamakee",2016,499,802,2354
"Allamakee",2017,499,802,2354
"Allamakee",2018,499,802,2354
"Allamakee",2019,499,802,2354
"Allamakee",2020,499,802,2354
"Appanoose",2011,256,1049,2038
"Appanoose",2012,256,1049,2038
"Appanoose",2013,256,1049,2038
"Appanoose",2014,256,1049,2038
"Appanoose",2015,256,1049,2038
"Appanoose",2016,383,1374,1502
"Appanoose",2017,383,1374,1502
"Appanoose",2018,383,1374,1502
"Appanoose",2019,383,1374,1502
"Appanoose",2020,383,1374,1502
"Audubon",2011,216,557,941
"Audubon",2012,216,557,941
"Audubon",2013,216,557,941
"Audubon",2014,216,557,941
"Audubon",2015,216,557,941
"Audubon",2016,184,449,939
"Audubon",2017,184,449,939
"Audubon",2018,184,449,939
"Audubon",2019,184,449,939
"Audubon",2020,184,449,939
"Benton",2011,1247,1440,4512
"Benton",2012,1247,1440,4512
"Benton",2013,1247,1440,4512
"Benton",2014,1247,1440,4512
"Benton",2015,1247,1440,4512
"Benton",2016,1549,1232,4480
"Benton",2017,1549,1232,4480
"Benton",2018,1549,1232,4480
"Benton",2019,1549,1232,4480
"Benton",2020,1549,1232,4480
"Black Hawk",2011,3961,8829,18194
"Black Hawk",2012,3961,8829,18194
"Black Hawk",2013,3961,8829,18194
"Black Hawk",2014,3961,8829,18194
"Black Hawk",2015,3961,8829,18194
"Black Hawk",2016,6573,7735,17021
"Black Hawk",2017,6573,7735,17021
"Black Hawk",2018,6573,7735,17021
"Black Hawk",2019,6573,7735,17021
"Black Hawk",2020,6573,7735,17021
"Boone",2011,1004,1461,4453
"Boone",2012,1004,1461,4453
"Boone",2013,1004,1461,4453
"Boone",2014,1004,1461,4453
"Boone",2015,1004,1461,4453
"Boone",2016,1617,998,4461
"Boone",2017,1617,998,4461
"Boone",2018,1617,998,4461
"Boone",2019,1617,998,4461
"Boone",2020,1617,998,4461
"Bremer",2011,1121,1078,4252
"Bremer",2012,1121,1078,4252
"Bremer",2013,1121,1078,4252
"Bremer",2014,1121,1078,4252
"Bremer",2015,1121,1078,4252
"Bremer",2016,1541,869,4335
"Bremer",2017,1541,869,4335
"Bremer",2018,1541,869,4335
"Bremer",2019,1541,869,4335
"Bremer",2020,1541,869,4335
"Buchanan",2011,874,1168,3555
"Buchanan",2012,874,1168,3555
"Buchanan",2013,874,1168,3555
"Buchanan",2014,874,1168,3555
"Buchanan",2015,874,1168,3555
"Buchanan",2016,1178,1075,3375
"Buchanan",2017,1178,1075,3375
"Buchanan",2018,1178,1075,3375
"Buchanan",2019,1178,1075,3375
"Buchanan",2020,1178,1075,3375
"Buena Vista",2011,525,1425,3183
"Buena Vista",2012,525,1425,3183
"Buena Vista",2013,525,1425,3183
"Buena Vista",2014,525,1425,3183
"Buena Vista",2015,525,1425,3183
"Buena Vista",2016,960,870,2777
"Buena Vista",2017,960,870,2777
"Buena Vista",2018,960,870,2777
"Buena Vista",2019,960,870,2777
"Buena Vista",2020,960,870,2777
"Butler",2011,401,1027,2876
"Butler",2012,401,1027,2876
"Butler",2013,401,1027,2876
"Butler",2014,401,1027,2876
"Butler",2015,401,1027,2876
