County,Poverty ,Year
Adair,11.1,2016
Adair,11.1,2017
Adair,11.1,2018
Adair,11.1,2019
Adair,11.1,2020
Adams,13.4,2016
Adams,13.4,2017
Adams,13.4,2018
Adams,13.4,2019
Adams,13.4,2020
Allamakee,11.4,2016
Allamakee,11.4,2017
Allamakee,11.4,2018
Allamakee,11.4,2019
Allamakee,11.4,2020
Appanoose,19.7,2016
Appanoose,19.7,2017
Appanoose,19.7,2018
Appanoose,19.7,2019
Appanoose,19.7,2020
Audubon,11.3,2016
Audubon,11.3,2017
Audubon,11.3,2018
Audubon,11.3,2019
Audubon,11.3,2020
Benton,8.8,2016
Benton,8.8,2017
Benton,8.8,2018
Benton,8.8,2019
Benton,8.8,2020
Black Hawk,15.5,2016
Black Hawk,15.5,2017
Black Hawk,15.5,2018
Black Hawk,15.5,2019
Black Hawk,15.5,2020
Boone,7.2,2016
Boone,7.2,2017
Boone,7.2,2018
Boone,7.2,2019
Boone,7.2,2020
Bremer,7.1,2016
Bremer,7.1,2017
Bremer,7.1,2018
Bremer,7.1,2019
Bremer,7.1,2020
Buchanan,7.4,2016
Buchanan,7.4,2017
Buchanan,7.4,2018
Buchanan,7.4,2019
Buchanan,7.4,2020
Buena Vista,10.9,2016
Buena Vista,10.9,2017
Buena Vista,10.9,2018
Buena Vista,10.9,2019
Buena Vista,10.9,2020
Butler,11.1,2016
Butler,11.1,2017
Butler,11.1,2018
Butler,11.1,2019
Butler,11.1,2020
Calhoun,11.6,2016
Calhoun,11.6,2017
Calhoun,11.6,2018
Calhoun,11.6,2019
Calhoun,11.6,2020
Carroll,7.4,2016
Carroll,7.4,2017
Carroll,7.4,2018
Carroll,7.4,2019
Carroll,7.4,2020
Cass,11.2,2016
Cass,11.2,2017
Cass,11.2,2018
Cass,11.2,2019
Cass,11.2,2020
Cedar,7.4,2016
Cedar,7.4,2017
Cedar,7.4,2018
Cedar,7.4,2019
Cedar,7.4,2020
Cerro Gordo,9.5,2016
Cerro Gordo,9.5,2017
Cerro Gordo,9.5,2018
Cerro Gordo,9.5,2019
Cerro Gordo,9.5,2020
Cherokee,11.8,2016
Cherokee,11.8,2017
Cherokee,11.8,2018
Cherokee,11.8,2019
Cherokee,11.8,2020
Chickasaw,7.8,2016
Chickasaw,7.8,2017
Chickasaw,7.8,2018
Chickasaw,7.8,2019
Chickasaw,7.8,2020
Clarke,17.4,2016
Clarke,17.4,2017
Clarke,17.4,2018
Clarke,17.4,2019
Clarke,17.4,2020
Clay,10.4,2016
Clay,10.4,2017
Clay,10.4,2018
Clay,10.4,2019
Clay,10.4,2020
Clayton,12.3,2016
Clayton,12.3,2017
Clayton,12.3,2018
Clayton,12.3,2019
Clayton,12.3,2020
Clinton,13.7,2016
Clinton,13.7,2017
Clinton,13.7,2018
Clinton,13.7,2019
Clinton,13.7,2020
Crawford,18.7,2016
Crawford,18.7,2017
Crawford,18.7,2018
Crawford,18.7,2019
Crawford,18.7,2020
Dallas,5.2,2016
Dallas,5.2,2017
Dallas,5.2,2018
Dallas,5.2,2019
Dallas,5.2,2020
Davis,10.4,2016
Davis,10.4,2017
Davis,10.4,2018
Davis,10.4,2019
Davis,10.4,2020
Decatur,15.8,2016
Decatur,15.8,2017
Decatur,15.8,2018
Decatur,15.8,2019
Decatur,15.8,2020
Delaware,8.7,2016
Delaware,8.7,2017
Delaware,8.7,2018
Delaware,8.7,2019
Delaware,8.7,2020
Des Moines,14.9,2016
Des Moines,14.9,2017
Des Moines,14.9,2018
Des Moines,14.9,2019
Des Moines,14.9,2020
Dickinson,7.5,2016
Dickinson,7.5,2017
Dickinson,7.5,2018
Dickinson,7.5,2019
Dickinson,7.5,2020
Dubuque,9.9,2016
Dubuque,9.9,2017
Dubuque,9.9,2018
Dubuque,9.9,2019
Dubuque,9.9,2020
Emmet,10.0,2016
Emmet,10.0,2017
Emmet,10.0,2018
Emmet,10.0,2019
Emmet,10.0,2020
Fayette,12.0,2016
Fayette,12.0,2017
Fayette,12.0,2018
Fayette,12.0,2019
Fayette,12.0,2020
Floyd,12.5,2016
Floyd,12.5,2017
Floyd,12.5,2018
Floyd,12.5,2019
Floyd,12.5,2020
Franklin,15.8,2016
Franklin,15.8,2017
Franklin,15.8,2018
Franklin,15.8,2019
Franklin,15.8,2020
Fremont,8.1,2016
Fremont,8.1,2017
Fremont,8.1,2018
Fremont,8.1,2019
Fremont,8.1,2020
Greene,9.0,2016
Greene,9.0,2017
Greene,9.0,2018
Greene,9.0,2019
Greene,9.0,2020
Grundy,5.1,2016
Grundy,5.1,2017
Grundy,5.1,2018
Grundy,5.1,2019
Grundy,5.1,2020
Guthrie,9.1,2016
Guthrie,9.1,2017
Guthrie,9.1,2018
Guthrie,9.1,2019
Guthrie,9.1,2020
Hamilton,7.5,2016
Hamilton,7.5,2017
Hamilton,7.5,2018
Hamilton,7.5,2019
Hamilton,7.5,2020
Hancock,11.0,2016
Hancock,11.0,2017
Hancock,11.0,2018
Hancock,11.0,2019
Hancock,11.0,2020
Hardin,9.6,2016
Hardin,9.6,2017
Hardin,9.6,2018
Hardin,9.6,2019
Hardin,9.6,2020
Harrison,8.7,2016
Harrison,8.7,2017
Harrison,8.7,2018
Harrison,8.7,2019
Harrison,8.7,2020
Henry,10.7,2016
Henry,10.7,2017
Henry,10.7,2018
Henry,10.7,2019
Henry,10.7,2020
Howard,9.0,2016
Howard,9.0,2017
Howard,9.0,2018
Howard,9.0,2019
Howard,9.0,2020
Humboldt,13.6,2016
Humboldt,13.6,2017
Humboldt,13.6,2018
Humboldt,13.6,2019
Humboldt,13.6,2020
Ida,11.6,2016
Ida,11.6,2017
Ida,11.6,2018
Ida,11.6,2019
Ida,11.6,2020
Iowa,8.4,2016
Iowa,8.4,2017
Iowa,8.4,2018
Iowa,8.4,2019
Iowa,8.4,2020
Jackson,11.9,2016
Jackson,11.9,2017
Jackson,11.9,2018
Jackson,11.9,2019
Jackson,11.9,2020
Jasper,9.1,2016
Jasper,9.1,2017
Jasper,9.1,2018
Jasper,9.1,2019
Jasper,9.1,2020
Jefferson,13.2,2016
Jefferson,13.2,2017
Jefferson,13.2,2018
Jefferson,13.2,2019
Jefferson,13.2,2020
Johnson,17.2,2016
Johnson,17.2,2017
Johnson,17.2,2018
