County,Age,Age Group Estimate,Age Group ME,Year
Adair,21 years,68,65,2016
Adair,21 years,68,65,2017
Adair,21 years,68,65,2018
Adair,21 years,68,65,2019
Adair,21 years,68,65,2020
Adair,22 to 24 years,218,74,2016
Adair,22 to 24 years,218,74,2017
Adair,22 to 24 years,218,74,2018
Adair,22 to 24 years,218,74,2019
Adair,22 to 24 years,218,74,2020
Adair,25 to 29 years,400,36,2016
Adair,25 to 29 years,400,36,2017
Adair,25 to 29 years,400,36,2018
Adair,25 to 29 years,400,36,2019
Adair,25 to 29 years,400,36,2020
Adair,30 to 34 years,426,31,2016
Adair,30 to 34 years,426,31,2017
Adair,30 to 34 years,426,31,2018
Adair,30 to 34 years,426,31,2019
Adair,30 to 34 years,426,31,2020
Adair,35 to 39 years,487,87,2016
Adair,35 to 39 years,487,87,2017
Adair,35 to 39 years,487,87,2018
Adair,35 to 39 years,487,87,2019
Adair,35 to 39 years,487,87,2020
Adair,40 to 44 years,251,85,2016
Adair,40 to 44 years,251,85,2017
Adair,40 to 44 years,251,85,2018
Adair,40 to 44 years,251,85,2019
Adair,40 to 44 years,251,85,2020
Adair,45 to 49 years,352,28,2016
Adair,45 to 49 years,352,28,2017
Adair,45 to 49 years,352,28,2018
Adair,45 to 49 years,352,28,2019
Adair,45 to 49 years,352,28,2020
Adair,50 to 54 years,466,35,2016
Adair,50 to 54 years,466,35,2017
Adair,50 to 54 years,466,35,2018
Adair,50 to 54 years,466,35,2019
Adair,50 to 54 years,466,35,2020
Adair,55 to 59 years,474,102,2016
Adair,55 to 59 years,474,102,2017
Adair,55 to 59 years,474,102,2018
Adair,55 to 59 years,474,102,2019
Adair,55 to 59 years,474,102,2020
Adair,60 and 61 years,281,76,2016
Adair,60 and 61 years,281,76,2017
Adair,60 and 61 years,281,76,2018
Adair,60 and 61 years,281,76,2019
Adair,60 and 61 years,281,76,2020
Adair,62 to 64 years,387,79,2016
Adair,62 to 64 years,387,79,2017
Adair,62 to 64 years,387,79,2018
Adair,62 to 64 years,387,79,2019
Adair,62 to 64 years,387,79,2020
Adair,65 and 66 years,204,63,2016
Adair,65 and 66 years,204,63,2017
Adair,65 and 66 years,204,63,2018
Adair,65 and 66 years,204,63,2019
Adair,65 and 66 years,204,63,2020
Adair,67 to 69 years,193,61,2016
Adair,67 to 69 years,193,61,2017
Adair,67 to 69 years,193,61,2018
Adair,67 to 69 years,193,61,2019
Adair,67 to 69 years,193,61,2020
Adair,70 to 74 years,380,77,2016
Adair,70 to 74 years,380,77,2017
Adair,70 to 74 years,380,77,2018
Adair,70 to 74 years,380,77,2019
Adair,70 to 74 years,380,77,2020
Adair,75 to 79 years,311,74,2016
Adair,75 to 79 years,311,74,2017
Adair,75 to 79 years,311,74,2018
Adair,75 to 79 years,311,74,2019
Adair,75 to 79 years,311,74,2020
Adair,80 to 84 years,188,64,2016
Adair,80 to 84 years,188,64,2017
Adair,80 to 84 years,188,64,2018
Adair,80 to 84 years,188,64,2019
Adair,80 to 84 years,188,64,2020
Adair,85 years and over,301,97,2016
Adair,85 years and over,301,97,2017
Adair,85 years and over,301,97,2018
Adair,85 years and over,301,97,2019
Adair,85 years and over,301,97,2020
Adams,21 years,30,30,2016
Adams,21 years,30,30,2017
Adams,21 years,30,30,2018
Adams,21 years,30,30,2019
Adams,21 years,30,30,2020
Adams,22 to 24 years,114,51,2016
Adams,22 to 24 years,114,51,2017
Adams,22 to 24 years,114,51,2018
Adams,22 to 24 years,114,51,2019
Adams,22 to 24 years,114,51,2020
Adams,25 to 29 years,206,25,2016
Adams,25 to 29 years,206,25,2017
Adams,25 to 29 years,206,25,2018
Adams,25 to 29 years,206,25,2019
Adams,25 to 29 years,206,25,2020
Adams,30 to 34 years,199,22,2016
Adams,30 to 34 years,199,22,2017
Adams,30 to 34 years,199,22,2018
Adams,30 to 34 years,199,22,2019
Adams,30 to 34 years,199,22,2020
Adams,35 to 39 years,205,44,2016
Adams,35 to 39 years,205,44,2017
Adams,35 to 39 years,205,44,2018
Adams,35 to 39 years,205,44,2019
Adams,35 to 39 years,205,44,2020
Adams,40 to 44 years,153,45,2016
Adams,40 to 44 years,153,45,2017
Adams,40 to 44 years,153,45,2018
Adams,40 to 44 years,153,45,2019
Adams,40 to 44 years,153,45,2020
Adams,45 to 49 years,198,28,2016
Adams,45 to 49 years,198,28,2017
Adams,45 to 49 years,198,28,2018
Adams,45 to 49 years,198,28,2019
Adams,45 to 49 years,198,28,2020
Adams,50 to 54 years,226,17,2016
Adams,50 to 54 years,226,17,2017
Adams,50 to 54 years,226,17,2018
Adams,50 to 54 years,226,17,2019
Adams,50 to 54 years,226,17,2020
Adams,55 to 59 years,290,72,2016
Adams,55 to 59 years,290,72,2017
Adams,55 to 59 years,290,72,2018
Adams,55 to 59 years,290,72,2019
Adams,55 to 59 years,290,72,2020
Adams,60 and 61 years,116,58,2016
Adams,60 and 61 years,116,58,2017
Adams,60 and 61 years,116,58,2018
Adams,60 and 61 years,116,58,2019
Adams,60 and 61 years,116,58,2020
Adams,62 to 64 years,221,77,2016
Adams,62 to 64 years,221,77,2017
Adams,62 to 64 years,221,77,2018
Adams,62 to 64 years,221,77,2019
Adams,62 to 64 years,221,77,2020
Adams,65 and 66 years,76,35,2016
Adams,65 and 66 years,76,35,2017
Adams,65 and 66 years,76,35,2018
Adams,65 and 66 years,76,35,2019
Adams,65 and 66 years,76,35,2020
Adams,67 to 69 years,154,62,2016
Adams,67 to 69 years,154,62,2017
Adams,67 to 69 years,154,62,2018
Adams,67 to 69 years,154,62,2019
Adams,67 to 69 years,154,62,2020
Adams,70 to 74 years,220,72,2016
Adams,70 to 74 years,220,72,2017
Adams,70 to 74 years,220,72,2018
Adams,70 to 74 years,220,72,2019
Adams,70 to 74 years,220,72,2020
Adams,75 to 79 years,191,51,2016
Adams,75 to 79 years,191,51,2017
Adams,75 to 79 years,191,51,2018
Adams,75 to 79 years,191,51,2019
Adams,75 to 79 years,191,51,2020
Adams,80 to 84 years,94,37,2016
Adams,80 to 84 years,94,37,2017
Adams,80 to 84 years,94,37,2018
Adams,80 to 84 years,94,37,2019
Adams,80 to 84 years,94,37,2020
Adams,85 years and over,101,52,2016
Adams,85 years and over,101,52,2017
Adams,85 years and over,101,52,2018
Adams,85 years and over,101,52,2019
Adams,85 years and over,101,52,2020
Allamakee,21 years,116,92,2016
Allamakee,21 years,116,92,2017
Allamakee,21 years,116,92,2018
Allamakee,21 years,116,92,2019
Allamakee,21 years,116,92,2020
Allamakee,22 to 24 years,486,135,2016
Allamakee,22 to 24 years,486,135,2017
