County,Year,White Estimate,White ME,Black Estimate,Black ME,Native American Estimate,Native American ME,Asian Estimate,Asian ME,Pacific Estimate,Pacific ME,Other Estimate,Other ME,Two+ Estimate,Two+ ME
Adair,2016,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2017,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2018,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2019,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2020,"6,820",48,34,26,0,14,55,18,0,14,22,28,117,41
Adair,2011,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adair,2012,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adair,2013,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adair,2014,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adair,2015,"7,312",15,27,20,2,4,24,19,0,13,13,14,48,23
Adams,2016,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2017,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2018,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2019,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2020,"3,515",17,4,7,8,13,23,24,0,10,34,16,49,29
Adams,2011,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Adams,2012,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Adams,2013,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Adams,2014,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Adams,2015,"3,788",15,27,26,2,3,11,12,0,9,0,9,64,21
Allamakee,2016,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2017,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2018,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2019,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2020,"13,129",105,164,80,151,99,69,23,0,16,56,54,192,100
Allamakee,2011,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Allamakee,2012,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Allamakee,2013,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Allamakee,2014,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Allamakee,2015,"13,592",72,99,56,29,26,39,23,3,7,46,42,252,71
Appanoose,2016,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2017,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2018,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2019,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2020,"12,051",37,77,56,49,36,35,34,0,16,15,22,235,71
Appanoose,2011,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Appanoose,2012,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Appanoose,2013,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Appanoose,2014,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Appanoose,2015,"12,347",35,43,35,4,7,47,24,0,15,13,17,215,57
Audubon,2016,"5,343",41,2,3,0,14,2,6,0,14,20,29,161,54
