County,Poverty ,Year
Adair,11.1,2016-2020
Adams,13.4,2016-2020
Allamakee,11.4,2016-2020
Appanoose,19.7,2016-2020
Audubon,11.3,2016-2020
Benton,8.8,2016-2020
Black Hawk,15.5,2016-2020
Boone,7.2,2016-2020
Bremer,7.1,2016-2020
Buchanan,7.4,2016-2020
Buena Vista,10.9,2016-2020
Butler,11.1,2016-2020
Calhoun,11.6,2016-2020
Carroll,7.4,2016-2020
Cass,11.2,2016-2020
Cedar,7.4,2016-2020
Cerro Gordo,9.5,2016-2020
Cherokee,11.8,2016-2020
Chickasaw,7.8,2016-2020
Clarke,17.4,2016-2020
Clay,10.4,2016-2020
Clayton,12.3,2016-2020
Clinton,13.7,2016-2020
Crawford,18.7,2016-2020
Dallas,5.2,2016-2020
Davis,10.4,2016-2020
Decatur,15.8,2016-2020
Delaware,8.7,2016-2020
Des Moines,14.9,2016-2020
Dickinson,7.5,2016-2020
Dubuque,9.9,2016-2020
Emmet,10,2016-2020
Fayette,12,2016-2020
Floyd,12.5,2016-2020
Franklin,15.8,2016-2020
Fremont,8.1,2016-2020
Greene,9,2016-2020
Grundy,5.1,2016-2020
Guthrie,9.1,2016-2020
Hamilton,7.5,2016-2020
Hancock,11,2016-2020
Hardin,9.6,2016-2020
Harrison,8.7,2016-2020
Henry,10.7,2016-2020
Howard,9,2016-2020
Humboldt,13.6,2016-2020
Ida,11.6,2016-2020
Iowa,8.4,2016-2020
Jackson,11.9,2016-2020
Jasper,9.1,2016-2020
Jefferson,13.2,2016-2020
Johnson,17.2,2016-2020
Jones,9.5,2016-2020
Keokuk,12.3,2016-2020
Kossuth,11.3,2016-2020
Lee,12.4,2016-2020
Linn,9.4,2016-2020
Louisa,9.1,2016-2020
Lucas,14.4,2016-2020
Lyon,4.7,2016-2020
Madison,5.8,2016-2020
Mahaska,12.7,2016-2020
Marion,7.3,2016-2020
Marshall,11.6,2016-2020
Mills,6.9,2016-2020
Mitchell,6.7,2016-2020
Monona,12.8,2016-2020
Monroe,13.2,2016-2020
Montgomery,12.5,2016-2020
Muscatine,9.6,2016-2020
O'Brien,11.1,2016-2020
Osceola,12.2,2016-2020
Page,12.4,2016-2020
Palo Alto,5.7,2016-2020
Plymouth,7.2,2016-2020
Pocahontas,11.2,2016-2020
Polk,10.4,2016-2020
Pottawattamie,10.3,2016-2020
Poweshiek,10.9,2016-2020
Ringgold,10,2016-2020
Sac,10.5,2016-2020
Scott,11.9,2016-2020
Shelby,8.9,2016-2020
Sioux,5.5,2016-2020
Story,20,2016-2020
Tama,12.6,2016-2020
Taylor,7.1,2016-2020
Union,11.9,2016-2020
Van Buren,13.1,2016-2020
Wapello,16.6,2016-2020
Warren,6.7,2016-2020
Washington,8.2,2016-2020
Wayne,16,2016-2020
Webster,14.3,2016-2020
Winnebago,6.9,2016-2020
Winneshiek,8.8,2016-2020
Woodbury,12.4,2016-2020
Worth,5.3,2016-2020
Wright,13.4,2016-2020
Adair,10.6,2011-2015
Adams,10.2,2011-2015
Allamakee,10.9,2011-2015
Appanoose,13.7,2011-2015
Audubon,9.7,2011-2015
Benton,9.6,2011-2015
Black Hawk,15.7,2011-2015
Boone,10.1,2011-2015
Bremer,8.3,2011-2015
Buchanan,9.5,2011-2015
Buena Vista,12.6,2011-2015
Butler,9,2011-2015
Calhoun,14.8,2011-2015
Carroll,10.1,2011-2015
Cass,13.9,2011-2015
Cedar,7.7,2011-2015
Cerro Gordo,13.4,2011-2015
Cherokee,11.2,2011-2015
Chickasaw,8.8,2011-2015
Clarke,16.4,2011-2015
Clay,11.5,2011-2015
Clayton,11.1,2011-2015
Clinton,13.9,2011-2015
Crawford,19.8,2011-2015
Dallas,6.5,2011-2015
Davis,19.3,2011-2015
Decatur,20.6,2011-2015
Delaware,10,2011-2015
Des Moines,15.2,2011-2015
Dickinson,6.6,2011-2015
Dubuque,12.2,2011-2015
Emmet,13.6,2011-2015
Fayette,12.9,2011-2015
Floyd,12.4,2011-2015
Franklin,13.3,2011-2015
Fremont,11,2011-2015
