County,Age,Age Group Estimate,Age Group ME,Year
Adair,21 years,68,65,2016-2020
Adair,22 to 24 years,218,74,2016-2020
Adair,25 to 29 years,400,36,2016-2020
Adair,30 to 34 years,426,31,2016-2020
Adair,35 to 39 years,487,87,2016-2020
Adair,40 to 44 years,251,85,2016-2020
Adair,45 to 49 years,352,28,2016-2020
Adair,50 to 54 years,466,35,2016-2020
Adair,55 to 59 years,474,102,2016-2020
Adair,60 and 61 years,281,76,2016-2020
Adair,62 to 64 years,387,79,2016-2020
Adair,65 and 66 years,204,63,2016-2020
Adair,67 to 69 years,193,61,2016-2020
Adair,70 to 74 years,380,77,2016-2020
Adair,75 to 79 years,311,74,2016-2020
Adair,80 to 84 years,188,64,2016-2020
Adair,85 years and over,301,97,2016-2020
Adams,21 years,30,30,2016-2020
Adams,22 to 24 years,114,51,2016-2020
Adams,25 to 29 years,206,25,2016-2020
Adams,30 to 34 years,199,22,2016-2020
Adams,35 to 39 years,205,44,2016-2020
Adams,40 to 44 years,153,45,2016-2020
Adams,45 to 49 years,198,28,2016-2020
Adams,50 to 54 years,226,17,2016-2020
Adams,55 to 59 years,290,72,2016-2020
Adams,60 and 61 years,116,58,2016-2020
Adams,62 to 64 years,221,77,2016-2020
Adams,65 and 66 years,76,35,2016-2020
Adams,67 to 69 years,154,62,2016-2020
Adams,70 to 74 years,220,72,2016-2020
Adams,75 to 79 years,191,51,2016-2020
Adams,80 to 84 years,94,37,2016-2020
Adams,85 years and over,101,52,2016-2020
Allamakee,21 years,116,92,2016-2020
Allamakee,22 to 24 years,486,135,2016-2020
Allamakee,25 to 29 years,669,65,2016-2020
Allamakee,30 to 34 years,755,82,2016-2020
Allamakee,35 to 39 years,726,144,2016-2020
Allamakee,40 to 44 years,661,155,2016-2020
Allamakee,45 to 49 years,691,30,2016-2020
Allamakee,50 to 54 years,911,103,2016-2020
Allamakee,55 to 59 years,"1,131",182,2016-2020
Allamakee,60 and 61 years,422,125,2016-2020
Allamakee,62 to 64 years,565,141,2016-2020
Allamakee,65 and 66 years,432,138,2016-2020
Allamakee,67 to 69 years,684,151,2016-2020
Allamakee,70 to 74 years,602,132,2016-2020
Allamakee,75 to 79 years,448,121,2016-2020
Allamakee,80 to 84 years,409,115,2016-2020
Allamakee,85 years and over,536,139,2016-2020
Appanoose,21 years,78,78,2016-2020
Appanoose,22 to 24 years,330,106,2016-2020
Appanoose,25 to 29 years,643,66,2016-2020
Appanoose,30 to 34 years,606,30,2016-2020
Appanoose,35 to 39 years,743,148,2016-2020
Appanoose,40 to 44 years,534,149,2016-2020
Appanoose,45 to 49 years,753,68,2016-2020
Appanoose,50 to 54 years,825,69,2016-2020
Appanoose,55 to 59 years,849,181,2016-2020
Appanoose,60 and 61 years,448,143,2016-2020
Appanoose,62 to 64 years,566,165,2016-2020
Appanoose,65 and 66 years,305,94,2016-2020
Appanoose,67 to 69 years,374,120,2016-2020
Appanoose,70 to 74 years,878,154,2016-2020
Appanoose,75 to 79 years,459,130,2016-2020
Appanoose,80 to 84 years,412,111,2016-2020
Appanoose,85 years and over,457,120,2016-2020
Audubon,21 years,5,26,2016-2020
Audubon,22 to 24 years,262,97,2016-2020
Audubon,25 to 29 years,267,6,2016-2020
Audubon,30 to 34 years,235,22,2016-2020
Audubon,35 to 39 years,278,64,2016-2020
Audubon,40 to 44 years,283,72,2016-2020
Audubon,45 to 49 years,271,28,2016-2020
Audubon,50 to 54 years,360,28,2016-2020
Audubon,55 to 59 years,487,85,2016-2020
Audubon,60 and 61 years,187,68,2016-2020
Audubon,62 to 64 years,280,89,2016-2020
